Node,Betweenness Centrality
Van Cortlandt Park-242 St,0.0
238 St,0.005291
231 St,0.010554
Marble Hill-225 St,0.015789
215 St,0.020996
207 St,0.026174
Dyckman St and Nagle Av,0.031325
191 St,0.036448
181 St and St Nicholas Av,0.041542
168 St-Washington Hts,0.046609
157 St,0.051647
145 St and Broadway,0.056657
137 St-City College,0.06164
125 St and Broadway,0.066594
116 St-Columbia University,0.07152
Cathedral Pkwy (110 St) and Broadway,0.076418
103 St and Broadway,0.081288
96 St and Broadway,0.105336
86 St and Broadway,0.000349
79 St and Broadway,0.002099
72 St and Broadway,0.102534
66 St-Lincoln Center,0.008631
59 St-Columbus Circle,0.123676
50 St and Broadway,0.068177
Times Sq-42 St,0.267223
34 St-Penn Station,0.052727
28 St and 7th Av,0.004145
23 St and 7th Av,1.4e-05
18 St,0.001132
14 St and 6 Av,0.034896
Christopher St-Sheridan Sq,0.005642
Houston St,0.001375
Canal St and Varick St,0.000995
Franklin St,0.004884
Chambers St and West Broadway,0.029409
WTC Cortlandt,0.008656
Rector St,0.012948
South Ferry,0.0
Wakefield-241 St,0.0
Nereid Av,0.005291
233 St,0.010554
225 St,0.015789
219 St,0.020996
Gun Hill Rd and White Plains Rd,0.026174
Burke Av,0.031325
Allerton Av,0.036448
Pelham Pkwy and White Plains Rd,0.041542
Bronx Park East,0.046609
E 180 St,0.07712
West Farms Sq-E Tremont Av,0.081288
174 St,0.08613
Freeman St,0.090944
Simpson St,0.095729
Intervale Av,0.100487
Prospect Av and Westchester Av,0.105217
Jackson Av,0.109918
3 Av-149 St,0.114592
149 St-Grand Concourse,0.209577
135 St and Lenox Av,0.031228
125 St and Malcom X Blvd,0.023163
116 St and Malcom X Blvd,0.02586
Central Park North (110 St),0.028868
Park Place,0.015254
Fulton St,0.0485
Wall St and William St,0.004282
Clark St,0.000673
Borough Hall,0.00353
Hoyt St,0.0
Nevins St,0.013118
Atlantic Av-Barclays Ctr,0.353366
Bergen St and Flatbush Av,0.005066
Grand Army Plaza,1.4e-05
Eastern Pkwy-Brooklyn Museum,0.000211
Franklin Av-Medgar Evers College,0.073585
