Node,closeness Centrality
Van Cortlandt Park-242 St,0.037804
238 St,0.039285
231 St,0.040878
Marble Hill-225 St,0.042596
215 St,0.044455
207 St,0.046472
Dyckman St and Nagle Av,0.048667
191 St,0.051067
181 St and St Nicholas Av,0.053701
168 St-Washington Hts,0.056604
157 St,0.05982
145 St and Broadway,0.063402
137 St-City College,0.067416
125 St and Broadway,0.071945
116 St-Columbia University,0.077096
Cathedral Pkwy (110 St) and Broadway,0.083004
103 St and Broadway,0.08985
96 St and Broadway,0.097877
86 St and Broadway,0.089214
79 St and Broadway,0.094951
72 St and Broadway,0.104825
66 St-Lincoln Center,0.097902
59 St-Columbus Circle,0.100212
50 St and Broadway,0.104651
Times Sq-42 St,0.111901
34 St-Penn Station,0.104018
28 St and 7th Av,0.094311
23 St and 7th Av,0.087784
18 St,0.089531
14 St and 6 Av,0.098233
Christopher St-Sheridan Sq,0.089552
Houston St,0.082281
Canal St and Varick St,0.08143
Franklin St,0.088545
Chambers St and West Broadway,0.097023
WTC Cortlandt,0.093588
Rector St,0.094547
South Ferry,0.0864
Wakefield-241 St,0.034448
Nereid Av,0.035674
233 St,0.036983
225 St,0.038383
219 St,0.039886
Gun Hill Rd and White Plains Rd,0.041502
Burke Av,0.043244
Allerton Av,0.045129
Pelham Pkwy and White Plains Rd,0.047173
Bronx Park East,0.049399
E 180 St,0.051831
West Farms Sq-E Tremont Av,0.05442
174 St,0.057264
Freeman St,0.060403
Simpson St,0.063884
Intervale Av,0.067766
Prospect Av and Westchester Av,0.072124
Jackson Av,0.077049
3 Av-149 St,0.082659
149 St-Grand Concourse,0.089109
135 St and Lenox Av,0.083944
125 St and Malcom X Blvd,0.083963
116 St and Malcom X Blvd,0.087784
Central Park North (110 St),0.092375
Park Place,0.097978
Fulton St,0.10396
Wall St and William St,0.094382
Clark St,0.08968
Borough Hall,0.091304
Hoyt St,0.090887
Nevins St,0.099526
Atlantic Av-Barclays Ctr,0.110108
Bergen St and Flatbush Av,0.099291
Grand Army Plaza,0.090713
Eastern Pkwy-Brooklyn Museum,0.091019
Franklin Av-Medgar Evers College,0.100026
President St-Medgar Evers College,0.09126
Sterling St,0.084488
Winthrop St,0.078734
Church Av and Nostrand Av,0.07377
Beverly Rd,0.079113
Newkirk Av-Little Haiti,0.073355
Flatbush Av-Brooklyn College,0.068354
Harlem-148 St,0.071931
Lenox Av and W 145 St,0.077491
Nostrand Av and Eastern Pkwy,0.090997
Kingston Av,0.083721
Crown Hts-Utica Av,0.091304
Sutter Av-Rutland Rd,0.083907
Saratoga Av,0.077586
Rockaway Av and Livonia Av,0.072124
Junius St,0.067356
Pennsylvania Av,0.063158
Van Siclen Av and Livonia Av,0.059434
New Lots Av and Warwick St,0.056108
Woodlawn,0.044707
Mosholu Pkwy,0.046794
Bedford Park Blvd-Lehman College,0.049072
Kingsbridge Rd and Jerome Av,0.051569
Fordham Rd and Jerome Av,0.054318
183 St,0.05736
Burnside Av,0.060742
