Node,degree Centrality
Van Cortlandt Park-242 St,0.002646
238 St,0.005291
231 St,0.005291
Marble Hill-225 St,0.005291
215 St,0.005291
207 St,0.005291
Dyckman St and Nagle Av,0.005291
191 St,0.005291
181 St and St Nicholas Av,0.005291
168 St-Washington Hts,0.005291
157 St,0.005291
145 St and Broadway,0.005291
137 St-City College,0.005291
125 St and Broadway,0.005291
116 St-Columbia University,0.005291
Cathedral Pkwy (110 St) and Broadway,0.005291
103 St and Broadway,0.005291
96 St and Broadway,0.010582
86 St and Broadway,0.005291
79 St and Broadway,0.005291
72 St and Broadway,0.010582
66 St-Lincoln Center,0.005291
59 St-Columbus Circle,0.018519
50 St and Broadway,0.005291
Times Sq-42 St,0.02381
34 St-Penn Station,0.015873
28 St and 7th Av,0.005291
23 St and 7th Av,0.005291
18 St,0.005291
14 St and 6 Av,0.010582
Christopher St-Sheridan Sq,0.005291
Houston St,0.005291
Canal St and Varick St,0.005291
Franklin St,0.005291
Chambers St and West Broadway,0.010582
WTC Cortlandt,0.005291
Rector St,0.010582
South Ferry,0.002646
Wakefield-241 St,0.002646
Nereid Av,0.005291
233 St,0.005291
225 St,0.005291
219 St,0.005291
Gun Hill Rd and White Plains Rd,0.005291
Burke Av,0.005291
Allerton Av,0.005291
Pelham Pkwy and White Plains Rd,0.005291
Bronx Park East,0.005291
E 180 St,0.007937
West Farms Sq-E Tremont Av,0.005291
174 St,0.005291
Freeman St,0.005291
Simpson St,0.005291
Intervale Av,0.005291
Prospect Av and Westchester Av,0.005291
Jackson Av,0.005291
3 Av-149 St,0.005291
149 St-Grand Concourse,0.010582
135 St and Lenox Av,0.007937
125 St and Malcom X Blvd,0.005291
116 St and Malcom X Blvd,0.005291
Central Park North (110 St),0.005291
Park Place,0.005291
Fulton St,0.021164
Wall St and William St,0.005291
Clark St,0.005291
Borough Hall,0.010582
Hoyt St,0.005291
Nevins St,0.007937
Atlantic Av-Barclays Ctr,0.02381
Bergen St and Flatbush Av,0.005291
Grand Army Plaza,0.005291
Eastern Pkwy-Brooklyn Museum,0.005291
Franklin Av-Medgar Evers College,0.013228
President St-Medgar Evers College,0.005291
Sterling St,0.005291
Winthrop St,0.005291
Church Av and Nostrand Av,0.005291
Beverly Rd,0.010582
Newkirk Av-Little Haiti,0.005291
Flatbush Av-Brooklyn College,0.002646
Harlem-148 St,0.002646
Lenox Av and W 145 St,0.005291
Nostrand Av and Eastern Pkwy,0.005291
Kingston Av,0.005291
Crown Hts-Utica Av,0.007937
Sutter Av-Rutland Rd,0.005291
Saratoga Av,0.005291
Rockaway Av and Livonia Av,0.005291
Junius St,0.005291
Pennsylvania Av,0.005291
Van Siclen Av and Livonia Av,0.005291
New Lots Av and Warwick St,0.002646
Woodlawn,0.002646
Mosholu Pkwy,0.005291
Bedford Park Blvd-Lehman College,0.005291
Kingsbridge Rd and Jerome Av,0.005291
Fordham Rd and Jerome Av,0.005291
183 St,0.005291
Burnside Av,0.005291
176 St,0.005291
Mt Eden Av,0.005291
170 St and Jerome Av,0.005291
167 St and River Av,0.005291
161 St-Yankee Stadium,0.010582
138 St-Grand Concourse,0.005291
125 St and Lexington Av,0.010582
86 St and Lexington Av,0.010582
59 St and Lexington Av,0.010582
Grand Central-42 St,0.015873
14 St-Union Sq,0.021164
Brooklyn Bridge-City Hall,0.007937
Wall St and Broadway,0.005291
Bowling Green,0.005291
Eastchester-Dyre Av,0.002646
Baychester Av,0.005291
Gun Hill Rd and Sexton Pl,0.005291
Pelham Pkwy and Laconia Av,0.005291
Morris Park,0.005291
Pelham Bay Park,0.002646
Buhre Av,0.005291
Middletown Rd,0.005291
Westchester Sq-E Tremont Av,0.005291
Zerega Av,0.005291
Castle Hill Av,0.005291
Parkchester,0.005291
St Lawrence Av,0.005291
Morrison Av-Soundview,0.005291
Elder Av,0.005291
Whitlock Av,0.005291
Hunts Point Av,0.005291
Longwood Av,0.005291
E 149 St,0.005291
E 143 St-St Mary's St,0.005291
Cypress Av,0.005291
Brook Av,0.005291
3 Av-138 St,0.005291
116 St and Lexington Av,0.005291
110 St,0.005291
103 St and Lexington,0.005291
96 St and Lexington Av,0.005291
77 St and Lexington Av,0.005291
68 St-Hunter College,0.005291
51 St,0.005291
33 St,0.005291
28 St and Park Av S,0.005291
23 St and Park Av S,0.005291
Astor Pl,0.005291
Bleecker St,0.005291
Spring St and Lafayette,0.005291
Canal St,0.02381
Flushing-Main St,0.002646
Mets-Willets Point,0.005291
111 St and Roosevelt Av,0.005291
103 St-Corona Plaza,0.005291
Junction Blvd,0.005291
90 St-Elmhurst Av,0.005291
82 St-Jackson Hts,0.005291
74 St-Broadway,0.005291
69 St,0.005291
61 St-Woodside,0.005291
52 St,0.005291
46 St-Bliss St,0.005291
40 St-Lowery St,0.005291
33 St-Rawson St,0.005291
Queensboro Plaza,0.010582
Court Sq,0.007937
Hunters Point Av,0.005291
Vernon Blvd-Jackson Av,0.005291
5 Av,0.005291
34 St-Hudson Yards,0.002646
Inwood-207 St,0.002646
Dyckman St and Broadway,0.005291
190 St,0.005291
181 St and Fort Washington Av,0.005291
175 St,0.005291
168 St,0.007937
145 St and St Nicholas Av,0.013228
125 St and St Nicholas Av,0.010582
42 St-Port Authority Bus Terminal,0.007937
14 St and 8 Av,0.007937
W 4 St-Wash Sq,0.013228
Canal St and 6th Ave,0.010582
Chambers St and Church St,0.005291
High St,0.005291
Jay St-MetroTech,0.010582
Hoyt-Schermerhorn Sts,0.013228
Nostrand Av and Fulton St,0.010582
Utica Av,0.010582
Broadway Junction,0.015873
Euclid Av,0.007937
Grant Av,0.005291
