Node,closeness Centrality
Van Cortlandt Park-242 St,1.501295947448166
238 St,1.639853631710309
231 St,1.788743500376536
Marble Hill-225 St,1.949160654506013
215 St,2.122491842061929
207 St,2.310355477268402
Dyckman St and Nagle Av,2.514652125141902
191 St,2.737628789476562
181 St and St Nicholas Av,2.981961617669984
168 St-Washington Hts,3.250863486283967
157 St,3.548225660875714
145 St and Broadway,3.878806822332898
137 St-City College,4.248489027674856
125 St and Broadway,4.664629991439571
116 St-Columbia University,5.136556804782086
Cathedral Pkwy (110 St) and Broadway,5.676272093596985
103 St and Broadway,6.299487498088762
96 St and Broadway,7.027176301617309
86 St and Broadway,6.249801347183555
79 St and Broadway,6.798975096400809
72 St and Broadway,7.687231781429768
66 St-Lincoln Center,7.029143489338312
59 St-Columbus Circle,7.257026108214029
50 St and Broadway,7.673683934012818
Times Sq-42 St,8.38218803649947
34 St-Penn Station,7.878567372919345
28 St and 7th Av,6.95885413260571
23 St and 7th Av,6.557046143166889
18 St,6.988009581446834
14 St and 6 Av,7.913946074134222
Christopher St-Sheridan Sq,6.989959943090986
Houston St,6.221905537459284
Canal St and Varick St,5.830675851599332
Franklin St,6.525309386632431
Chambers St and West Broadway,7.353079725794894
WTC Cortlandt,7.040964422104908
Rector St,7.201549374249956
South Ferry,6.464259497034726
Wakefield-241 St,1.153907479631986
Nereid Av,1.26669034486637
233 St,1.386963679319087
225 St,1.515495058637208
219 St,1.653160596802509
Gun Hill Rd and White Plains Rd,1.800964833272356
Burke Av,1.960065159073155
Allerton Av,2.131802038247494
Pelham Pkwy and White Plains Rd,2.317736694879637
Bronx Park East,2.519698509671628
E 180 St,2.7398451754652
West Farms Sq-E Tremont Av,2.974639534352941
174 St,3.231966952067217
Freeman St,3.515223599859987
Simpson St,3.828524114212917
Intervale Av,4.176902194753834
Prospect Av and Westchester Av,4.566582386245763
Jackson Av,5.005354367588512
3 Av-149 St,5.503097879319378
149 St-Grand Concourse,6.072534106538323
135 St and Lenox Av,5.602700831639582
125 St and Malcom X Blvd,5.669137016697243
116 St and Malcom X Blvd,6.047373954510038
Central Park North (110 St),6.495548405070712
Park Place,7.340439453047121
Fulton St,7.864485702414646
Wall St and William St,6.956917076875885
Clark St,6.507778054712814
Borough Hall,6.715622179627712
Hoyt St,6.690007257261481
Nevins St,7.533660792426839
Atlantic Av-Barclays Ctr,8.55617481080736
Bergen St and Flatbush Av,7.513983923028992
Grand Army Plaza,6.682715987758541
Eastern Pkwy-Brooklyn Museum,6.708288430900991
Franklin Av-Medgar Evers College,7.575466160631493
President St-Medgar Evers College,6.728485626798514
Sterling St,6.066229533492531
Winthrop St,5.503097879319378
Church Av and Nostrand Av,5.017302885664307
Beverly Rd,5.534634779171393
Newkirk Av-Little Haiti,4.982762167097821
Flatbush Av-Brooklyn College,4.503121860635027
Harlem-148 St,4.554002332433661
Lenox Av and W 145 St,5.041320674904083
Nostrand Av and Eastern Pkwy,6.706456897204757
Kingston Av,6.002163254789841
Crown Hts-Utica Av,6.732167785681048
Sutter Av-Rutland Rd,6.017696449860578
Saratoga Av,5.407365093059952
Rockaway Av and Livonia Av,4.879967909356803
Junius St,4.419690458560984
Pennsylvania Av,4.014498685226988
Van Siclen Av and Livonia Av,3.65507301123345
New Lots Av and Warwick St,3.334083825051608
Woodlawn,2.108602883619928
Mosholu Pkwy,2.298871437677025
Bedford Park Blvd-Lehman College,2.506098459463327
Kingsbridge Rd and Jerome Av,2.732649316540587
Fordham Rd and Jerome Av,2.981350639081853
183 St,3.255608517800035
Burnside Av,3.559565010857763
176 St,3.898308272583026
Mt Eden Av,4.278159035681623
170 St and Jerome Av,4.707067901815694
167 St and River Av,5.195176888880917
161 St-Yankee Stadium,5.755630327555266
138 St-Grand Concourse,6.397241092598599
125 St and Lexington Av,6.832758658540267
86 St and Lexington Av,7.344649124524837
59 St and Lexington Av,7.928167810197055
Grand Central-42 St,8.631742600968547
14 St-Union Sq,9.0
Brooklyn Bridge-City Hall,8.429073662203098
Wall St and Broadway,6.956917076875885
Bowling Green,6.507778054712814
Eastchester-Dyre Av,1.78301865935951
Baychester Av,1.944505151396258
Gun Hill Rd and Sexton Pl,2.11911643531312
Pelham Pkwy and Laconia Av,2.308514014448612
Morris Park,2.514652125141902
Pelham Bay Park,1.353552306791799
Buhre Av,1.480812348087766
Middletown Rd,1.617118825576725
Westchester Sq-E Tremont Av,1.76346702511752
Zerega Av,1.921003739896247
Castle Hill Av,2.091057239239595
Parkchester,2.275174643982017
St Lawrence Av,2.475168935678835
Morrison Av-Soundview,2.693178626791475
Elder Av,2.931744257120087
Whitlock Av,3.193907525064829
Hunts Point Av,3.483341272804521
Longwood Av,3.804522141941128
E 149 St,4.162963187562085
E 143 St-St Mary's St,4.565532235265195
Cypress Av,5.02089526762727
Brook Av,5.540146139624967
3 Av-138 St,6.137720856776231
116 St and Lexington Av,6.08992190714159
110 St,5.461000920044422
103 St and Lexington,5.824738229695566
96 St and Lexington Av,6.518288303733186
77 St and Lexington Av,6.514782040822808
68 St-Hunter College,6.997769756727411
51 St,7.746375200747644
33 St,7.575466160631493
28 St and Park Av S,7.171011907940406
23 St and Park Av S,7.873869068088363
Astor Pl,7.873869068088363
Bleecker St,7.355189725254538
Spring St and Lafayette,7.829454580390147
Canal St,8.945031195221791
Flushing-Main St,1.758521543140312
Mets-Willets Point,1.917941768675858
111 St and Roosevelt Av,2.09022537003528
103 St-Corona Plaza,2.276988431701795
Junction Blvd,2.480129518275982
90 St-Elmhurst Av,2.701894213238003
82 St-Jackson Hts,2.94495819929206
74 St-Broadway,3.212535407525507
69 St,3.508520527725232
61 St-Woodside,3.837679328783964
52 St,4.205906610313551
46 St-Bliss St,4.620581589171705
40 St-Lowery St,5.09106654320933
33 St-Rawson St,5.62942093644349
Queensboro Plaza,6.25144809377618
Court Sq,6.557046143166889
Hunters Point Av,7.124574769089519
Vernon Blvd-Jackson Av,7.813190774123759
5 Av,8.043410801994588
34 St-Hudson Yards,7.365753848860225
Inwood-207 St,3.454735551766937
Dyckman St and Broadway,3.790541975177297
190 St,4.167602653063879
181 St and Fort Washington Av,4.594002718812733
175 St,5.080087542440431
168 St,5.639311900397906
145 St and St Nicholas Av,6.286180216541202
125 St and St Nicholas Av,6.745079531134834
42 St-Port Authority Bus Terminal,7.252894066777039
14 St and 8 Av,7.869175179995176
W 4 St-Wash Sq,8.297305518298522
Canal St and 6th Ave,7.384828800848419
Chambers St and Church St,7.199507294174444
High St,7.500910548054081
Jay St-MetroTech,7.911579700774702
Hoyt-Schermerhorn Sts,7.30480799092859
Nostrand Av and Fulton St,6.734010015557291
Utica Av,6.230090848191578
Broadway Junction,5.805502116899489
Euclid Av,5.267554060058242
Grant Av,4.792435699393706
80 St,4.372811971691229
88 St,3.999509924095656
Rockaway Blvd,3.665272557036491
104 St and Liberty Av,3.364283419124364
111 St and Liberty Av,3.091826063980311
Ozone Park-Lefferts Blvd,2.844035750411585
Aqueduct Racetrack,2.617715494677592
Howard Beach-JFK Airport,2.410197822643275
Broad Channel,2.219239502547228
Beach 67 St,2.039690596735411
Beach 60 St,1.873685795385934
Beach 44 St,1.719753174227865
Beach 36 St,1.576626592060922
Beach 25 St,1.443210943752786
Far Rockaway-Mott Av,1.318554223778686
Beach 90 St,2.038067585518016
