Node,Betweenness Centrality
Van Cortlandt Park-242 St,1.0
238 St,1.096539247006584
231 St,1.192633612690557
Marble Hill-225 St,1.288283097051919
215 St,1.38348770009067
207 St,1.478247421806811
Dyckman St and Nagle Av,1.57256226220034
191 St,1.666432221271258
181 St and St Nicholas Av,1.759857299019565
168 St-Washington Hts,1.852837495445261
157 St,1.945372810548347
145 St and Broadway,2.037463244328821
137 St-City College,2.129108796786684
125 St and Broadway,2.220309467921936
116 St-Columbia University,2.311065257734578
Cathedral Pkwy (110 St) and Broadway,2.401376166224608
103 St and Broadway,2.491242193392027
96 St and Broadway,2.944513236278585
86 St and Broadway,1.005523943089086
79 St and Broadway,1.039609267089798
72 St and Broadway,2.941906973196956
66 St-Lincoln Center,1.130572668186325
59 St-Columbus Circle,3.379076225118421
50 St and Broadway,2.074234539314795
Times Sq-42 St,5.869010167303632
34 St-Penn Station,2.531092614405113
28 St and 7th Av,1.046355574574821
23 St and 7th Av,1.000222440661305
18 St,1.049961231770458
14 St and 6 Av,2.454716465834526
Christopher St-Sheridan Sq,1.119476586531536
Houston St,1.029884902846393
Canal St and Varick St,1.006502681998831
Franklin St,1.072712144836411
Chambers St and West Broadway,2.02639717450929
WTC Cortlandt,1.769731016278418
Rector St,3.121092459049731
South Ferry,2.933899109389959
Wakefield-241 St,1.0
Nereid Av,1.096539247006584
233 St,1.192633612690557
225 St,1.288283097051919
219 St,1.38348770009067
Gun Hill Rd and White Plains Rd,1.478247421806811
Burke Av,1.57256226220034
Allerton Av,1.666432221271258
Pelham Pkwy and White Plains Rd,1.759857299019565
Bronx Park East,1.852837495445261
E 180 St,2.412498199289883
West Farms Sq-E Tremont Av,2.491242193392027
174 St,2.580663339236836
Freeman St,2.669639603759033
Simpson St,2.75817098695862
Intervale Av,2.846257488835595
Prospect Av and Westchester Av,2.933899109389959
Jackson Av,3.021095848621712
3 Av-149 St,3.107847706530855
149 St-Grand Concourse,4.725249239464787
135 St and Lenox Av,1.520314658204034
125 St and Malcom X Blvd,1.382186422222034
116 St and Malcom X Blvd,1.437611220330652
Central Park North (110 St),1.497966786431542
Park Place,1.162229152013829
Fulton St,1.71714145390041
Wall St and William St,1.073609586980654
Clark St,1.010125287054377
Borough Hall,1.067433945716004
Hoyt St,1.0
Nevins St,1.24753620486573
Atlantic Av-Barclays Ctr,7.743009360867955
Bergen St and Flatbush Av,1.092980196425696
