Node,Node Degree
Van Cortlandt Park-242 St,1
238 St,2
231 St,2
Marble Hill-225 St,2
215 St,2
207 St,2
Dyckman St and Nagle Av,2
191 St,2
181 St and St Nicholas Av,2
168 St-Washington Hts,2
157 St,2
145 St and Broadway,2
137 St-City College,2
125 St and Broadway,2
116 St-Columbia University,2
Cathedral Pkwy (110 St) and Broadway,2
103 St and Broadway,2
96 St and Broadway,4
86 St and Broadway,2
79 St and Broadway,2
72 St and Broadway,4
66 St-Lincoln Center,2
59 St-Columbus Circle,7
50 St and Broadway,2
Times Sq-42 St,9
34 St-Penn Station,6
28 St and 7th Av,2
23 St and 7th Av,2
18 St,2
14 St and 6 Av,4
Christopher St-Sheridan Sq,2
Houston St,2
Canal St and Varick St,2
Franklin St,2
Chambers St and West Broadway,4
WTC Cortlandt,2
Rector St,4
South Ferry,2
Wakefield-241 St,1
Nereid Av,2
233 St,2
225 St,2
219 St,2
Gun Hill Rd and White Plains Rd,2
Burke Av,2
Allerton Av,2
Pelham Pkwy and White Plains Rd,2
Bronx Park East,2
E 180 St,3
West Farms Sq-E Tremont Av,2
174 St,2
Freeman St,2
Simpson St,2
Intervale Av,2
Prospect Av and Westchester Av,2
Jackson Av,2
3 Av-149 St,2
149 St-Grand Concourse,4
135 St and Lenox Av,3
125 St and Malcom X Blvd,2
116 St and Malcom X Blvd,2
Central Park North (110 St),2
Park Place,2
Fulton St,8
Wall St and William St,2
Clark St,2
Borough Hall,4
Hoyt St,2
Nevins St,3
Atlantic Av-Barclays Ctr,9
Bergen St and Flatbush Av,2
Grand Army Plaza,2
Eastern Pkwy-Brooklyn Museum,2
Franklin Av-Medgar Evers College,5
President St-Medgar Evers College,2
Sterling St,2
Winthrop St,2
Church Av and Nostrand Av,2
Beverly Rd,4
Newkirk Av-Little Haiti,2
Flatbush Av-Brooklyn College,1
Harlem-148 St,1
Lenox Av and W 145 St,2
Nostrand Av and Eastern Pkwy,2
Kingston Av,2
Crown Hts-Utica Av,3
Sutter Av-Rutland Rd,2
Saratoga Av,2
Rockaway Av and Livonia Av,2
Junius St,2
Pennsylvania Av,2
Van Siclen Av and Livonia Av,2
New Lots Av and Warwick St,1
Woodlawn,1
Mosholu Pkwy,2
Bedford Park Blvd-Lehman College,2
Kingsbridge Rd and Jerome Av,2
Fordham Rd and Jerome Av,2
183 St,2
Burnside Av,2
176 St,2
Mt Eden Av,2
170 St and Jerome Av,2
167 St and River Av,2
161 St-Yankee Stadium,4
138 St-Grand Concourse,2
125 St and Lexington Av,4
86 St and Lexington Av,4
59 St and Lexington Av,4
Grand Central-42 St,6
14 St-Union Sq,8
Brooklyn Bridge-City Hall,3
Wall St and Broadway,2
Bowling Green,2
Eastchester-Dyre Av,1
Baychester Av,2
Gun Hill Rd and Sexton Pl,2
Pelham Pkwy and Laconia Av,2
Morris Park,2
Pelham Bay Park,1
Buhre Av,2
Middletown Rd,2
Westchester Sq-E Tremont Av,2
Zerega Av,2
