Node,closeness Centrality,standardized closeness
Van Cortlandt Park-242 St,3.70E-02,-1.90E+00
238 St,3.84E-02,-1.82E+00
231 St,4.00E-02,-1.74E+00
Marble Hill-225 St,4.16E-02,-1.66E+00
215 St,4.34E-02,-1.56E+00
207 St,4.53E-02,-1.46E+00
Dyckman St and Nagle Av,4.74E-02,-1.35E+00
191 St,4.97E-02,-1.23E+00
181 St and St Nicholas Av,5.22E-02,-1.10E+00
168 St-Washington Hts,5.49E-02,-9.59E-01
157 St,5.80E-02,-8.00E-01
145 St and Broadway,6.14E-02,-6.22E-01
137 St-City College,6.51E-02,-4.24E-01
125 St and Broadway,6.94E-02,-2.01E-01
116 St-Columbia University,0.07424475166,0.05239112703
Cathedral Pkwy (110 St) and Broadway,0.07977260224,0.3419156758
103 St and Broadway,0.08615567439,0.676232977
96 St and Broadway,0.09360877986,1.066593926
86 St and Broadway,0.08564678086,0.6495793677
79 St and Broadway,0.0912715065,0.9441778074
72 St and Broadway,0.100369174,1.420673696
66 St-Lincoln Center,0.09362892811,1.067649203
59 St-Columbus Circle,0.09596293845,1.18989442
50 St and Broadway,0.1002304147,1.413406096
Times Sq-42 St,0.1074870274,1.793475616
34 St-Penn Station,0.1023288638,1.523313647
28 St and 7th Av,0.09290901324,1.029943223
23 St and 7th Av,8.88E-02,8.14E-01
18 St,0.09320762803,1.045583354
14 St and 6 Av,0.1026912181,1.542292176
Christopher St-Sheridan Sq,0.09322760394,1.046629605
Houston St,0.0853610675,0.6346149562
Canal St and Varick St,0.0813540303,0.424743936
Franklin St,0.0884685784,0.7973727367
Chambers St and West Broadway,0.09694673501,1.241421365
WTC Cortlandt,0.09375,1.073990417
Rector St,0.09539473684,1.160134514
South Ferry,0.08784329564,0.7646231702
Wakefield-241 St,3.35E-02,-2.08E+00
Nereid Av,3.46E-02,-2.02E+00
233 St,3.58E-02,-1.96E+00
225 St,3.72E-02,-1.89E+00
219 St,3.86E-02,-1.82E+00
Gun Hill Rd and White Plains Rd,4.01E-02,-1.74E+00
Burke Av,4.17E-02,-1.65E+00
Allerton Av,4.35E-02,-1.56E+00
Pelham Pkwy and White Plains Rd,4.54E-02,-1.46E+00
Bronx Park East,4.74E-02,-1.35E+00
E 180 St,4.97E-02,-1.23E+00
West Farms Sq-E Tremont Av,5.21E-02,-1.11E+00
174 St,5.47E-02,-9.69E-01
Freeman St,5.76E-02,-8.17E-01
Simpson St,6.08E-02,-6.49E-01
Intervale Av,6.44E-02,-4.62E-01
Prospect Av and Westchester Av,6.84E-02,-2.53E-01
Jackson Av,7.29E-02,-1.80E-02
3 Av-149 St,0.07799892415,0.2490182032
149 St-Grand Concourse,0.08383118135,0.5544862345
135 St and Lenox Av,0.07901907357,0.3024491518
125 St and Malcom X Blvd,0.07969952364,0.3380881394
116 St and Malcom X Blvd,0.08357348703,0.5409893375
Central Park North (110 St),0.08816376165,0.7814077734
Park Place,0.09681727131,1.234640625
Fulton St,0.1021846371,1.515759684
Wall St and William St,0.09288917361,1.02890411
Clark St,0.08828901969,0.7879682394
Borough Hall,0.09041779256,0.8994640183
Hoyt St,0.09015544041,0.8857231645
Nevins St,0.09879627527,1.338292166
Atlantic Av-Barclays Ctr,0.1092690279,1.886808978
Bergen St and Flatbush Av,0.09859474161,1.327736717
Grand Army Plaza,9.01E-02,8.82E-01
Eastern Pkwy-Brooklyn Museum,0.09034267913,0.8955299065
Franklin Av-Medgar Evers College,0.09922445255,1.360718212
President St-Medgar Evers College,0.09054954205,0.9063644782
Sterling St,0.0837666089,0.5511042131
Winthrop St,0.07799892415,0.2490182032
Church Av and Nostrand Av,0.07302333389,-0.01158137446
Beverly Rd,0.07832193014,0.265935839
Newkirk Av-Little Haiti,0.07266956231,-0.030110377
Flatbush Av-Brooklyn College,0.06775700935,-0.2874083379
Harlem-148 St,6.83E-02,-2.60E-01
Lenox Av and W 145 St,7.33E-02,1.30E-03
Nostrand Av and Eastern Pkwy,0.09032392027,0.8945473996
Kingston Av,8.31E-02,5.17E-01
Crown Hts-Utica Av,0.09058725531,0.9083397333
Sutter Av-Rutland Rd,0.08326952527,0.5250691546
Saratoga Av,0.0770184136,0.1976633643
Rockaway Av and Livonia Av,0.07161672703,-0.08525326753
Junius St,0.06690249154,-0.3321642297
Pennsylvania Av,6.28E-02,-5.50E-01
Van Siclen Av and Livonia Av,5.91E-02,-7.42E-01
New Lots Av and Warwick St,5.58E-02,-9.15E-01
Woodlawn,4.32E-02,-1.57E+00
Mosholu Pkwy,4.52E-02,-1.47E+00
Bedford Park Blvd-Lehman College,4.73E-02,-1.36E+00
Kingsbridge Rd and Jerome Av,4.96E-02,-1.24E+00
Fordham Rd and Jerome Av,5.22E-02,-1.10E+00
183 St,5.50E-02,-9.57E-01
Burnside Av,5.81E-02,-7.94E-01
176 St,6.16E-02,-6.12E-01
Mt Eden Av,6.55E-02,-4.08E-01
170 St and Jerome Av,6.98E-02,-1.78E-01
167 St and River Av,0.07484514797,0.08383725011
161 St-Yankee Stadium,0.080585402,0.3844865597
138 St-Grand Concourse,0.08715688239,0.7286718572
125 St and Lexington Av,0.09161752317,0.9623006414
86 St and Lexington Av,0.09686038744,1.236898859
59 St and Lexington Av,0.1028368794,1.549921276
Grand Central-42 St,0.1100430053,1.927346518
14 St-Union Sq,0.1138147567,2.124894299
Brooklyn Bridge-City Hall,0.1079672375,1.818626913
Wall St and Broadway,0.09288917361,1.02890411
Bowling Green,0.08828901969,0.7879682394
Eastchester-Dyre Av,3.99E-02,-1.75E+00
Baychester Av,4.16E-02,-1.66E+00
Gun Hill Rd and Sexton Pl,4.33E-02,-1.57E+00
Pelham Pkwy and Laconia Av,4.53E-02,-1.46E+00
Morris Park,4.74E-02,-1.35E+00
Pelham Bay Park,3.55E-02,-1.98E+00
Buhre Av,3.68E-02,-1.91E+00
Middletown Rd,3.82E-02,-1.84E+00
Westchester Sq-E Tremont Av,3.97E-02,-1.76E+00
Zerega Av,4.13E-02,-1.67E+00
Castle Hill Av,4.31E-02,-1.58E+00
Parkchester,4.49E-02,-1.48E+00
St Lawrence Av,4.70E-02,-1.38E+00
Morrison Av-Soundview,4.92E-02,-1.26E+00
Elder Av,5.17E-02,-1.13E+00
Whitlock Av,5.43E-02,-9.90E-01
Hunts Point Av,5.73E-02,-8.34E-01
Longwood Av,6.06E-02,-6.62E-01
E 149 St,6.43E-02,-4.70E-01
E 143 St-St Mary's St,6.84E-02,-2.54E-01
Cypress Av,7.31E-02,-9.65E-03
Brook Av,0.07837837838,0.26889235
3 Av-138 St,0.0844988345,0.5894549761
116 St and Lexington Av,0.08400926999,0.5638137359
110 St,0.07756776034,0.2264357354
103 St and Lexington,0.08129321622,0.4215587616
96 St and Lexington Av,0.08839666734,0.7936063512
77 St and Lexington Av,0.08836075564,0.7917254536
68 St-Hunter College,0.09330759331,1.050819097
51 St,0.1009749304,1.452400556
33 St,0.09922445255,1.360718212
28 St and Park Av S,9.51E-02,1.14E+00
23 St and Park Av S,0.102280743,1.520793291
Astor Pl,0.102280743,1.520793291
Bleecker St,9.70E-02,1.24E+00
Spring St and Lafayette,0.1018258427,1.496967609
Canal St,0.1132517574,2.095406866
Flushing-Main St,3.96E-02,-1.76E+00
Mets-Willets Point,4.13E-02,-1.67E+00
111 St and Roosevelt Av,4.30E-02,-1.58E+00
103 St-Corona Plaza,4.50E-02,-1.48E+00
Junction Blvd,4.70E-02,-1.37E+00
90 St-Elmhurst Av,4.93E-02,-1.25E+00
82 St-Jackson Hts,5.18E-02,-1.12E+00
74 St-Broadway,5.45E-02,-9.80E-01
69 St,5.76E-02,-8.21E-01
61 St-Woodside,6.09E-02,-6.44E-01
