Node,eigenvector Centrality,standardized eigenvector
Van Cortlandt Park-242 St,9.76E-13,-3.81E-01
238 St,4.16E-12,-3.81E-01
231 St,1.67E-11,-3.81E-01
Marble Hill-225 St,6.71E-11,-3.81E-01
215 St,2.69E-10,-3.81E-01
207 St,1.08E-09,-3.81E-01
Dyckman St and Nagle Av,4.34E-09,-3.81E-01
191 St,1.74E-08,-3.81E-01
181 St and St Nicholas Av,6.98E-08,-3.81E-01
168 St-Washington Hts,2.80E-07,-3.81E-01
157 St,1.12E-06,-3.81E-01
145 St and Broadway,4.51E-06,-3.81E-01
137 St-City College,1.81E-05,-3.81E-01
125 St and Broadway,7.27E-05,-3.80E-01
116 St-Columbia University,0.000291609259,-0.3752574299
Cathedral Pkwy (110 St) and Broadway,0.001170419336,-0.3564662176
103 St and Broadway,0.004697774293,-0.2810423263
96 St and Broadway,0.01885611641,0.02169932295
86 St and Broadway,0.008329283588,-0.2033913482
79 St and Broadway,0.01665164832,-0.02543785595
72 St and Broadway,0.0626579599,0.9582950221
66 St-Lincoln Center,0.02785026949,0.214017372
59 St-Columbus Circle,0.05606652942,0.8173533414
50 St and Broadway,0.06094798247,0.921731321
Times Sq-42 St,0.2037622119,3.975465649
34 St-Penn Station,0.1309110381,2.417720801
28 St and 7th Av,0.03416423892,0.3490262243
23 St and 7th Av,1.47E-02,-6.64E-02
18 St,0.02865729729,0.2312736952
14 St and 6 Av,0.1074364437,1.915773794
Christopher St-Sheridan Sq,0.0269102489,0.1939173221
Houston St,0.007288343163,-0.225649323
Canal St and Varick St,0.004161351464,-0.2925124215
Franklin St,0.01045247982,-0.15799197
Chambers St and West Broadway,0.04040111366,0.4823865943
WTC Cortlandt,0.01374304658,-0.08763121744
Rector St,0.01819287049,0.007517424762
South Ferry,0.004531369766,-0.2846004817
Wakefield-241 St,2.00E-15,-3.81E-01
Nereid Av,7.00E-15,-3.81E-01
233 St,2.90E-14,-3.81E-01
225 St,1.17E-13,-3.81E-01
219 St,4.71E-13,-3.81E-01
Gun Hill Rd and White Plains Rd,1.89E-12,-3.81E-01
Burke Av,7.58E-12,-3.81E-01
Allerton Av,3.04E-11,-3.81E-01
Pelham Pkwy and White Plains Rd,1.22E-10,-3.81E-01
Bronx Park East,4.89E-10,-3.81E-01
E 180 St,1.96E-09,-3.81E-01
West Farms Sq-E Tremont Av,7.39E-09,-3.81E-01
174 St,2.95E-08,-3.81E-01
Freeman St,1.19E-07,-3.81E-01
Simpson St,4.76E-07,-3.81E-01
Intervale Av,1.91E-06,-3.81E-01
Prospect Av and Westchester Av,7.66E-06,-3.81E-01
Jackson Av,3.07E-05,-3.81E-01
3 Av-149 St,0.0001234222461,-0.3788536993
149 St-Grand Concourse,0.0004954009831,-0.3708998404
135 St and Lenox Av,0.0002041958803,-0.377126552
125 St and Malcom X Blvd,0.0003243739728,-0.3745568363
116 St and Malcom X Blvd,0.001178553081,-0.3562922973
Central Park North (110 St),0.004699682391,-0.2810015263
Park Place,0.04061359578,0.4869300068
Fulton St,0.1327646545,2.45735587
Wall St and William St,0.03493301039,0.3654645291
Clark St,0.016185235,-0.03541096853
