School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust
"New Explorations into Science, Technology and Math High School - [HS] 01M539",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.462548644,4.63,3.96,3.69,4.28,4.2,4.2,4.16
Bard High School Early College - [HS] 01M696,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.462548644,4.58,4.46,2.82,3.96,3.77,3.77,3.92
47 The American Sign Language and English Secondary School - [HS] 02M047,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.921579258,4.26,3.88,4.02,3.69,2.74,4.33,3.33
The Urban Assembly School for Emergency Management - [HS] 02M135,Brooklyn Bridge-City Hall,0.52,1.818626913,-0.2047747479,4.098730602,1.921579258,3.31,3.72,3.06,3.28,2.82,3.21,2.98
Stephen T. Mather Building Arts & Craftsmanship High School - [HS] 02M139,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.795267527,3.07,3.56,4.25,3.99,4.65,3.7,4.07
The Clinton School - [HS] 02M260,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,1.861483597,4.7,4.22,2.94,3.98,3.37,2.48,2.96
Urban Assembly Maker Academy - [HS] 02M282,Brooklyn Bridge-City Hall,0.52,1.818626913,-0.2047747479,4.098730602,1.626112938,3.78,3.14,3.49,3.53,3.38,3.22,3.63
Food and Finance High School - [HS] 02M288,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,4.065938965,3.22,2.8,2.18,2.98,2.75,2.9,2.7
Essex Street Academy - [HS] 02M294,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.861483597,4.43,4.4,4.43,3.92,4.52,4.06,4.18
High School of Hospitality Management - [HS] 02M296,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.626112938,2.74,2.39,2.86,3.27,2.66,2.26,3.47
Pace High School - [HS] 02M298,Grand St,2.21,1.622183874,-0.4036117532,3.021934157,1.921579258,3.21,3.8,3.74,3.57,3.49,3.72,3.57
"Urban Assembly School of Design and Construction, The - [HS] 02M300",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.626112938,3.01,2.76,3.54,3.62,3.35,3.67,4.09
"Facing History School, The - [HS] 02M303",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.780761678,3.55,3.96,4.69,3.64,4.15,3.82,4.07
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.626112938,3.17,3.67,4.33,3.88,4.41,4.32,4.13
Lower Manhattan Arts Academy - [HS] 02M308,Spring St and Lafayette,-0.32,1.496967609,-0.6265434322,1.781290488,1.626112938,3.18,3.52,3.22,3.39,3.53,2.79,2.91
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,1.921579258,2.97,3.09,3.8,3.7,4.08,4.5,4.93
Gramercy Arts High School - [HS] 02M374,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,1.326164745,3.83,3.04,3.03,3.09,2.98,3.1,2.95
NYC iSchool - [HS] 02M376,Spring St and 6th Av,-0.32,1.223379546,-0.6685599181,0.6805606009,1.1203359,4.25,4.41,4.54,4.31,4.43,3.83,4.52
Manhattan Business Academy - [HS] 02M392,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,4.065938965,3.64,4.88,4.83,4.1,4.48,3.51,4.25
Business Of Sports School - [HS] 02M393,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.389874821,3.23,3.5,3.64,3.13,3.63,3.22,3.63
The High School For Language And Diplomacy - [HS] 02M399,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,2.492849484,3.01,2.51,3.36,3.2,3.33,3.47,3.67
High School for Environmental Studies - [HS] 02M400,59 St-Columbus Circle,3.9,1.18989442,1.60999057,0.8173533414,1.626112938,3.35,3.73,3.71,3.3,4.43,3.25,3.35
Professional Performing Arts High School - [HS] 02M408,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,4.065938965,4.17,3.47,3.6,3.63,3.55,3.24,3.01
Baruch College Campus High School - [HS] 02M411,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,3.273514777,4.83,3.6,3.98,4.14,3.38,3.05,3.57
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.626112938,4.44,4.31,4.46,4.02,3.66,4.06,4.16
School of the Future High School - [HS] 02M413,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.795267527,4.71,4.28,3.39,3.8,3.35,3.29,2.88
N.Y.C. Museum School - [HS] 02M414,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,2.492849484,4.4,3.82,3.3,3.94,3.56,3.2,3.66
Eleanor Roosevelt High School - [HS] 02M416,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.795267527,4.86,4.33,3.72,4.22,3.81,3.68,3.91
Millennium High School - [HS] 02M418,Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,2.492849484,4.62,3.0,3.4,4.04,3.31,2.66,3.58
Landmark High School - [HS] 02M419,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.949675305,3.32,3.27,3.49,3.13,3.94,4.11,3.48
Quest to Learn - [HS] 02M422,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.1203359,2.94,3.01,3.25,3.42,3.08,3.09,3.15
Leadership and Public Service High School - [HS] 02M425,Rector St,1.37,1.160134514,1.40762888,0.007517424762,2.492849484,3.28,2.47,2.95,3.68,2.98,3.46,3.12
Manhattan Academy For Arts & Language - [HS] 02M427,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,2.492849484,3.21,4.39,4.37,3.86,4.73,3.51,3.82
Murray Hill Academy - [HS] 02M432,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,1.343706702,3.31,4.83,4.79,3.85,4.38,3.05,3.4
International High School at Union Square - [HS] 02M438,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,4.065938965,3.68,3.53,3.71,3.63,3.7,3.22,4.15
Vanguard High School - [HS] 02M449,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.789484464,2.94,3.57,3.74,3.51,3.55,3.97,3.7
Manhattan International High School - [HS] 02M459,68 St-Hunter College,-0.32,1.050819097,-0.6322314163,-0.07621241909,1.949675305,3.3,4.52,4.24,4.2,4.7,3.94,4.14
Stuyvesant High School - [HS] 02M475,Chambers St and West Broadway,1.37,1.241421365,0.4911174724,0.4823865943,1.795219335,4.99,4.03,3.21,4.24,3.64,3.09,3.68
High School of Economics and Finance - [HS] 02M489,Rector St,1.37,1.160134514,1.40762888,0.007517424762,1.545198251,3.7,3.6,3.48,3.81,3.85,2.02,2.86
Unity Center for Urban Technologies - [HS] 02M500,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,1.343706702,3.95,3.57,4.17,3.92,4.16,4.07,4.44
Talent Unlimited High School - [HS] 02M519,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.949675305,4.28,3.43,3.27,3.34,3.5,3.55,3.81
Jacqueline Kennedy Onassis High School - [HS] 02M529,47-50 Sts-Rockefeller Ctr,0.52,1.213287254,-0.5052681512,0.4437380575,2.763448633,3.13,2.31,3.57,3.33,3.6,3.81,3.8
Repertory Company High School for Theatre Arts - [HS] 02M531,Times Sq-42 St,5.59,1.793475616,4.130699989,3.975465649,9.0,3.88,3.42,3.46,3.05,3.46,3.88,3.59
Union Square Academy for Health Sciences - [HS] 02M533,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,4.065938965,3.66,4.3,4.04,4.06,3.86,1.77,2.86
Manhattan Bridges High School - [HS] 02M542,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.626112938,4.22,4.84,4.42,4.2,3.92,3.92,4.02
New Design High School - [HS] 02M543,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.921579258,3.42,3.77,3.58,3.93,3.93,2.89,3.79
Academy for Software Engineering - [HS] 02M546,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,4.065938965,3.53,3.55,3.83,3.61,4.36,2.39,3.38
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.32,0.7879682394,-0.6572958446,-0.03541096853,1.646787388,3.21,3.25,3.38,3.79,3.69,3.74,4.16
