Node,Betweenness Centrality
Van Cortlandt Park-242 St,1.0
238 St,1.6833946783762896
231 St,2.3101412055514903
Marble Hill-225 St,2.888695121381514
215 St,3.425748286501277
207 St,3.9266876437253706
Dyckman St and Nagle Av,4.395913879853385
191 St,4.837068387252782
181 St and St Nicholas Av,5.253198475156795
168 St-Washington Hts,5.646879955214618
157 St,6.020309653521687
145 St and Broadway,6.375376289987344
137 St-City College,6.71371552499494
125 St and Broadway,7.036753236443188
116 St-Columbia University,7.34573992351313
Cathedral Pkwy (110 St) and Broadway,7.641778334620715
103 St and Broadway,7.925845860443915
96 St and Broadway,9.20910577813379
86 St and Broadway,1.0413843975934376
79 St and Broadway,1.2864755816568136
72 St and Broadway,9.187339882545139
66 St-Lincoln Center,1.9251453131820742
59 St-Columbus Circle,10.17980960642121
50 St and Broadway,6.96539583632772
Times Sq-42 St,14.82400634632397
34 St-Penn Station,7.894165418116595
28 St and 7th Av,1.5089569150282942
23 St and 7th Av,1.0016706292085948
18 St,1.18413138678206
14 St and 6 Av,6.828967793606234
Christopher St-Sheridan Sq,1.702510798132388
Houston St,1.164791251725538
Canal St and Varick St,1.1410618488305322
Franklin St,1.6580796799685513
Chambers St and West Broadway,6.720348999975167
WTC Cortlandt,5.342859204943637
Rector St,9.745444206659384
South Ferry,9.19411184344991
Wakefield-241 St,1.0
Nereid Av,1.6833946783762896
233 St,2.3101412055514903
225 St,2.888695121381514
219 St,3.425748286501277
Gun Hill Rd and White Plains Rd,3.9266876437253706
Burke Av,4.395913879853385
Allerton Av,4.837068387252782
Pelham Pkwy and White Plains Rd,5.253198475156795
Bronx Park East,5.646879955214618
E 180 St,7.678115226901355
West Farms Sq-E Tremont Av,7.925845860443915
174 St,8.198812838982622
Freeman St,8.461457636730943
Simpson St,8.7144791641908
Intervale Av,8.958507332311058
Prospect Av and Westchester Av,9.19411184344991
Jackson Av,9.42180962538492
3 Av-149 St,9.642071152208471
149 St-Grand Concourse,13.020099573576811
135 St and Lenox Av,4.166558890436875
125 St and Malcom X Blvd,3.420749898445965
116 St and Malcom X Blvd,3.7142671118487494
Central Park North (110 St),4.022817725380316
Park Place,3.01665481753816
Fulton St,5.808957307147441
Wall St and William St,1.5398173656872878
Clark St,1.0811190371963733
Borough Hall,1.477948275330758
Hoyt St,1.0
Nevins St,2.6252189260175625
Atlantic Av-Barclays Ctr,16.77134053762281
Bergen St and Flatbush Av,1.658812908706623
Grand Army Plaza,1.0016706292085948
Eastern Pkwy-Brooklyn Museum,1.0250228800088124
Franklin Av-Medgar Evers College,7.474824986235834
President St-Medgar Evers College,2.556424151750637
Sterling St,2.007079132875872
Winthrop St,1.4325276604837565
Church Av and Nostrand Av,1.140498844046583
Beverly Rd,2.9537429146557512
Newkirk Av-Little Haiti,1.6833946783762896
Flatbush Av-Brooklyn College,1.0
Harlem-148 St,1.0
Lenox Av and W 145 St,1.6833946783762896
Nostrand Av and Eastern Pkwy,1.3425919452333808
Kingston Av,1.0066804246023342
Crown Hts-Utica Av,5.050860302328573
Sutter Av-Rutland Rd,4.395913879853385
Saratoga Av,3.9266876437253706
Rockaway Av and Livonia Av,3.425748286501277
Junius St,2.888695121381514
Pennsylvania Av,2.3101412055514903
Van Siclen Av and Livonia Av,1.6833946783762896
New Lots Av and Warwick St,1.0
Woodlawn,1.0
Mosholu Pkwy,1.6833946783762896
Bedford Park Blvd-Lehman College,2.3101412055514903
Kingsbridge Rd and Jerome Av,2.888695121381514
Fordham Rd and Jerome Av,3.425748286501277
183 St,3.9266876437253706
Burnside Av,4.395913879853385
176 St,4.837068387252782
Mt Eden Av,5.253198475156795
170 St and Jerome Av,5.646879955214618
167 St and River Av,6.020309653521687
161 St-Yankee Stadium,10.304809618466606
138 St-Grand Concourse,11.690548589289408
125 St and Lexington Av,14.183276043468233
86 St and Lexington Av,14.04037095197062
59 St and Lexington Av,14.206346819679851
Grand Central-42 St,16.12701577544915
14 St-Union Sq,18.577796618689757
Brooklyn Bridge-City Hall,3.8713167240338864
Wall St and Broadway,1.5398173656872878
Bowling Green,1.0811190371963733
Eastchester-Dyre Av,1.0
Baychester Av,1.6833946783762896
Gun Hill Rd and Sexton Pl,2.3101412055514903
Pelham Pkwy and Laconia Av,2.888695121381514
Morris Park,3.425748286501277
Pelham Bay Park,1.0
Buhre Av,1.6833946783762896
Middletown Rd,2.3101412055514903
Westchester Sq-E Tremont Av,2.888695121381514
Zerega Av,3.425748286501277
Castle Hill Av,3.9266876437253706
Parkchester,4.395913879853385
St Lawrence Av,4.837068387252782
Morrison Av-Soundview,5.253198475156795
Elder Av,5.646879955214618
Whitlock Av,6.020309653521687
