Node,degree Centrality
Van Cortlandt Park-242 St,0.002506
238 St,0.005013
231 St,0.005013
Marble Hill-225 St,0.005013
215 St,0.005013
207 St,0.005013
Dyckman St and Nagle Av,0.005013
191 St,0.005013
181 St and St Nicholas Av,0.005013
168 St-Washington Hts,0.005013
157 St,0.005013
145 St and Broadway,0.005013
137 St-City College,0.005013
125 St and Broadway,0.005013
116 St-Columbia University,0.005013
Cathedral Pkwy (110 St) and Broadway,0.005013
103 St and Broadway,0.005013
96 St and Broadway,0.010025
86 St and Broadway,0.005013
79 St and Broadway,0.005013
72 St and Broadway,0.010025
66 St-Lincoln Center,0.005013
59 St-Columbus Circle,0.017544
50 St and Broadway,0.005013
Times Sq-42 St,0.022556
34 St-Penn Station,0.015038
28 St and 7th Av,0.005013
23 St and 7th Av,0.005013
18 St,0.005013
14 St and 6 Av,0.010025
Christopher St-Sheridan Sq,0.005013
Houston St,0.005013
Canal St and Varick St,0.005013
Franklin St,0.005013
Chambers St and West Broadway,0.010025
WTC Cortlandt,0.005013
Rector St,0.010025
South Ferry,0.005013
Wakefield-241 St,0.002506
Nereid Av,0.005013
233 St,0.005013
225 St,0.005013
219 St,0.005013
Gun Hill Rd and White Plains Rd,0.005013
Burke Av,0.005013
Allerton Av,0.005013
Pelham Pkwy and White Plains Rd,0.005013
Bronx Park East,0.005013
E 180 St,0.007519
West Farms Sq-E Tremont Av,0.005013
174 St,0.005013
Freeman St,0.005013
Simpson St,0.005013
Intervale Av,0.005013
Prospect Av and Westchester Av,0.005013
Jackson Av,0.005013
3 Av-149 St,0.005013
149 St-Grand Concourse,0.010025
135 St and Lenox Av,0.007519
125 St and Malcom X Blvd,0.005013
116 St and Malcom X Blvd,0.005013
Central Park North (110 St),0.005013
Park Place,0.005013
Fulton St,0.02005
Wall St and William St,0.005013
Clark St,0.005013
Borough Hall,0.010025
Hoyt St,0.005013
Nevins St,0.007519
Atlantic Av-Barclays Ctr,0.022556
Bergen St and Flatbush Av,0.005013
Grand Army Plaza,0.005013
Eastern Pkwy-Brooklyn Museum,0.005013
Franklin Av-Medgar Evers College,0.012531
President St-Medgar Evers College,0.005013
Sterling St,0.005013
Winthrop St,0.005013
Church Av and Nostrand Av,0.005013
Beverly Rd,0.010025
Newkirk Av-Little Haiti,0.005013
Flatbush Av-Brooklyn College,0.002506
Harlem-148 St,0.002506
Lenox Av and W 145 St,0.005013
Nostrand Av and Eastern Pkwy,0.005013
Kingston Av,0.005013
Crown Hts-Utica Av,0.007519
Sutter Av-Rutland Rd,0.005013
Saratoga Av,0.005013
Rockaway Av and Livonia Av,0.005013
Junius St,0.005013
Pennsylvania Av,0.005013
Van Siclen Av and Livonia Av,0.005013
New Lots Av and Warwick St,0.002506
Woodlawn,0.002506
Mosholu Pkwy,0.005013
Bedford Park Blvd-Lehman College,0.005013
Kingsbridge Rd and Jerome Av,0.005013
Fordham Rd and Jerome Av,0.005013
183 St,0.005013
Burnside Av,0.005013
176 St,0.005013
Mt Eden Av,0.005013
170 St and Jerome Av,0.005013
167 St and River Av,0.005013
161 St-Yankee Stadium,0.010025
138 St-Grand Concourse,0.005013
125 St and Lexington Av,0.010025
86 St and Lexington Av,0.010025
59 St and Lexington Av,0.010025
Grand Central-42 St,0.015038
14 St-Union Sq,0.02005
Brooklyn Bridge-City Hall,0.007519
Wall St and Broadway,0.005013
Bowling Green,0.005013
Eastchester-Dyre Av,0.002506
Baychester Av,0.005013
Gun Hill Rd and Sexton Pl,0.005013
Pelham Pkwy and Laconia Av,0.005013
Morris Park,0.005013
Pelham Bay Park,0.002506
Buhre Av,0.005013
Middletown Rd,0.005013
Westchester Sq-E Tremont Av,0.005013
Zerega Av,0.005013
Castle Hill Av,0.005013
Parkchester,0.005013
St Lawrence Av,0.005013
Morrison Av-Soundview,0.005013
Elder Av,0.005013
Whitlock Av,0.005013
Hunts Point Av,0.005013
Longwood Av,0.005013
E 149 St,0.005013
E 143 St-St Mary's St,0.005013
Cypress Av,0.005013
Brook Av,0.005013
3 Av-138 St,0.005013
116 St and Lexington Av,0.005013
110 St,0.005013
103 St and Lexington,0.005013
96 St and Lexington Av,0.005013
77 St and Lexington Av,0.005013
68 St-Hunter College,0.005013
51 St,0.005013
33 St,0.005013
28 St and Park Av S,0.005013
23 St and Park Av S,0.005013
Astor Pl,0.005013
Bleecker St,0.005013
Spring St and Lafayette,0.005013
Canal St,0.022556
Flushing-Main St,0.002506
Mets-Willets Point,0.005013
111 St and Roosevelt Av,0.005013
103 St-Corona Plaza,0.005013
Junction Blvd,0.005013
90 St-Elmhurst Av,0.005013
82 St-Jackson Hts,0.005013
74 St-Broadway,0.005013
69 St,0.005013
61 St-Woodside,0.005013
52 St,0.005013
46 St-Bliss St,0.005013
40 St-Lowery St,0.005013
33 St-Rawson St,0.005013
Queensboro Plaza,0.010025
Court Sq,0.007519
Hunters Point Av,0.005013
Vernon Blvd-Jackson Av,0.005013
5 Av,0.005013
34 St-Hudson Yards,0.002506
Inwood-207 St,0.002506
Dyckman St and Broadway,0.005013
190 St,0.005013
