Node,degree Centrality
Van Cortlandt Park-242 St,0.0
238 St,5.087910133759974
231 St,5.087910133759974
Marble Hill-225 St,5.087910133759974
215 St,5.087910133759974
207 St,5.087910133759974
Dyckman St and Nagle Av,5.087910133759974
191 St,5.087910133759974
181 St and St Nicholas Av,5.087910133759974
168 St-Washington Hts,5.087910133759974
157 St,5.087910133759974
145 St and Broadway,5.087910133759974
137 St-City College,5.087910133759974
125 St and Broadway,5.087910133759974
116 St-Columbia University,5.087910133759974
Cathedral Pkwy (110 St) and Broadway,5.087910133759974
103 St and Broadway,5.087910133759974
96 St and Broadway,10.394263873042087
86 St and Broadway,5.087910133759974
79 St and Broadway,5.087910133759974
72 St and Broadway,10.394263873042087
66 St-Lincoln Center,5.087910133759974
59 St-Columbus Circle,14.766613523986646
50 St and Broadway,5.087910133759974
Times Sq-42 St,16.745878910497375
34 St-Penn Station,13.556765766195257
28 St and 7th Av,5.087910133759974
23 St and 7th Av,5.087910133759974
18 St,5.087910133759974
14 St and 6 Av,10.394263873042087
Christopher St-Sheridan Sq,5.087910133759974
Houston St,5.087910133759974
Canal St and Varick St,5.087910133759974
Franklin St,5.087910133759974
Chambers St and West Broadway,10.394263873042087
WTC Cortlandt,5.087910133759974
Rector St,10.394263873042087
South Ferry,5.087910133759974
Wakefield-241 St,0.0
Nereid Av,5.087910133759974
233 St,5.087910133759974
225 St,5.087910133759974
219 St,5.087910133759974
Gun Hill Rd and White Plains Rd,5.087910133759974
Burke Av,5.087910133759974
Allerton Av,5.087910133759974
Pelham Pkwy and White Plains Rd,5.087910133759974
Bronx Park East,5.087910133759974
E 180 St,8.17320998025585
West Farms Sq-E Tremont Av,5.087910133759974
174 St,5.087910133759974
Freeman St,5.087910133759974
Simpson St,5.087910133759974
Intervale Av,5.087910133759974
Prospect Av and Westchester Av,5.087910133759974
Jackson Av,5.087910133759974
3 Av-149 St,5.087910133759974
149 St-Grand Concourse,10.394263873042087
135 St and Lenox Av,8.17320998025585
125 St and Malcom X Blvd,5.087910133759974
116 St and Malcom X Blvd,5.087910133759974
Central Park North (110 St),5.087910133759974
Park Place,5.087910133759974
Fulton St,15.817301540475341
Wall St and William St,5.087910133759974
Clark St,5.087910133759974
Borough Hall,10.394263873042087
Hoyt St,5.087910133759974
Nevins St,8.17320998025585
Atlantic Av-Barclays Ctr,16.745878910497375
Bergen St and Flatbush Av,5.087910133759974
Grand Army Plaza,5.087910133759974
Eastern Pkwy-Brooklyn Museum,5.087910133759974
Franklin Av-Medgar Evers College,12.130779914944707
President St-Medgar Evers College,5.087910133759974
Sterling St,5.087910133759974
Winthrop St,5.087910133759974
Church Av and Nostrand Av,5.087910133759974
Beverly Rd,10.394263873042087
Newkirk Av-Little Haiti,5.087910133759974
Flatbush Av-Brooklyn College,0.0
Harlem-148 St,0.0
Lenox Av and W 145 St,5.087910133759974
Nostrand Av and Eastern Pkwy,5.087910133759974
Kingston Av,5.087910133759974
Crown Hts-Utica Av,8.17320998025585
Sutter Av-Rutland Rd,5.087910133759974
Saratoga Av,5.087910133759974
Rockaway Av and Livonia Av,5.087910133759974
Junius St,5.087910133759974
Pennsylvania Av,5.087910133759974
Van Siclen Av and Livonia Av,5.087910133759974
New Lots Av and Warwick St,0.0
Woodlawn,0.0
Mosholu Pkwy,5.087910133759974
Bedford Park Blvd-Lehman College,5.087910133759974
Kingsbridge Rd and Jerome Av,5.087910133759974
Fordham Rd and Jerome Av,5.087910133759974
183 St,5.087910133759974
Burnside Av,5.087910133759974
176 St,5.087910133759974
Mt Eden Av,5.087910133759974
170 St and Jerome Av,5.087910133759974
167 St and River Av,5.087910133759974
161 St-Yankee Stadium,10.394263873042087
138 St-Grand Concourse,5.087910133759974
125 St and Lexington Av,10.394263873042087
86 St and Lexington Av,10.394263873042087
59 St and Lexington Av,10.394263873042087
Grand Central-42 St,13.556765766195257
14 St-Union Sq,17.577796618689757
Brooklyn Bridge-City Hall,8.17320998025585
Wall St and Broadway,5.087910133759974
Bowling Green,5.087910133759974
Eastchester-Dyre Av,0.0
Baychester Av,5.087910133759974
Gun Hill Rd and Sexton Pl,5.087910133759974
Pelham Pkwy and Laconia Av,5.087910133759974
Morris Park,5.087910133759974
Pelham Bay Park,0.0
Buhre Av,5.087910133759974
Middletown Rd,5.087910133759974
Westchester Sq-E Tremont Av,5.087910133759974
Zerega Av,5.087910133759974
Castle Hill Av,5.087910133759974
Parkchester,5.087910133759974
St Lawrence Av,5.087910133759974
Morrison Av-Soundview,5.087910133759974
Elder Av,5.087910133759974
Whitlock Av,5.087910133759974
Hunts Point Av,5.087910133759974
Longwood Av,5.087910133759974
E 149 St,5.087910133759974
E 143 St-St Mary's St,5.087910133759974
Cypress Av,5.087910133759974
Brook Av,5.087910133759974
3 Av-138 St,5.087910133759974
116 St and Lexington Av,5.087910133759974
110 St,5.087910133759974
103 St and Lexington,5.087910133759974
96 St and Lexington Av,5.087910133759974
77 St and Lexington Av,5.087910133759974
68 St-Hunter College,5.087910133759974
51 St,5.087910133759974
33 St,5.087910133759974
28 St and Park Av S,5.087910133759974
23 St and Park Av S,5.087910133759974
Astor Pl,5.087910133759974
Bleecker St,5.087910133759974
Spring St and Lafayette,5.087910133759974
Canal St,16.745878910497375
Flushing-Main St,0.0
Mets-Willets Point,5.087910133759974
111 St and Roosevelt Av,5.087910133759974
103 St-Corona Plaza,5.087910133759974
Junction Blvd,5.087910133759974
90 St-Elmhurst Av,5.087910133759974
82 St-Jackson Hts,5.087910133759974
74 St-Broadway,5.087910133759974
69 St,5.087910133759974
61 St-Woodside,5.087910133759974
52 St,5.087910133759974
46 St-Bliss St,5.087910133759974
40 St-Lowery St,5.087910133759974
33 St-Rawson St,5.087910133759974
Queensboro Plaza,10.394263873042087
Court Sq,8.17320998025585
Hunters Point Av,5.087910133759974
Vernon Blvd-Jackson Av,5.087910133759974
5 Av,5.087910133759974
34 St-Hudson Yards,0.0
Inwood-207 St,0.0
Dyckman St and Broadway,5.087910133759974
190 St,5.087910133759974
181 St and Fort Washington Av,5.087910133759974
175 St,5.087910133759974
168 St,8.17320998025585
145 St and St Nicholas Av,12.130779914944707
125 St and St Nicholas Av,10.394263873042087
42 St-Port Authority Bus Terminal,8.17320998025585
14 St and 8 Av,10.394263873042087
W 4 St-Wash Sq,12.130779914944707
Canal St and 6th Ave,10.394263873042087
Chambers St and Church St,5.087910133759974
High St,5.087910133759974
Jay St-MetroTech,10.394263873042087
Hoyt-Schermerhorn Sts,12.130779914944707
Nostrand Av and Fulton St,10.394263873042087
Utica Av,10.394263873042087
Broadway Junction,15.817301540475341
Euclid Av,8.17320998025585
Grant Av,5.087910133759974
80 St,5.087910133759974
88 St,5.087910133759974
Rockaway Blvd,5.087910133759974
104 St and Liberty Av,5.087910133759974
111 St and Liberty Av,5.087910133759974
Ozone Park-Lefferts Blvd,5.087910133759974
Aqueduct Racetrack,5.087910133759974
Howard Beach-JFK Airport,5.087910133759974
Broad Channel,8.17320998025585
Beach 67 St,5.087910133759974
Beach 60 St,5.087910133759974
Beach 44 St,5.087910133759974
Beach 36 St,5.087910133759974
Beach 25 St,5.087910133759974
Far Rockaway-Mott Av,0.0
Beach 90 St,5.087910133759974
Beach 98 St,5.087910133759974
Beach 105 St,5.087910133759974
Rockaway Park-Beach 116 St,0.0
Bedford Park Blvd,5.087910133759974
Kingsbridge Rd and Grand Concourse,5.087910133759974
Fordham Rd and Grand Concourse,5.087910133759974
182-183 Sts,5.087910133759974
Tremont Av,5.087910133759974
