Node,eigenvector Centrality
Van Cortlandt Park-242 St,1.56e-12
238 St,6.443e-12
231 St,2.5058e-11
Marble Hill-225 St,9.7085e-11
215 St,3.76093e-10
207 St,1.457049e-09
Dyckman St and Nagle Av,5.645389e-09
191 St,2.1875121e-08
181 St and St Nicholas Av,8.476969e-08
168 St-Washington Hts,3.28519436e-07
157 St,1.273236231e-06
145 St and Broadway,4.934938412e-06
137 St-City College,1.9128325171e-05
125 St and Broadway,7.414680977e-05
116 St-Columbia University,0.000287426209254
Cathedral Pkwy (110 St) and Broadway,0.00111423521633
103 St and Broadway,0.004319588932645
96 St and Broadway,0.016746403296542
86 St and Broadway,0.007594696365607
79 St and Broadway,0.014656370823598
72 St and Broadway,0.053008375998096
66 St-Lincoln Center,0.023917108182369
59 St-Columbus Circle,0.04588255824011
50 St and Broadway,0.050726643610032
Times Sq-42 St,0.163871519369607
34 St-Penn Station,0.07927516242223
28 St and 7th Av,0.020890929514414
23 St and 7th Av,0.00710719764597
18 St,0.008496137661027
14 St and 6 Av,0.028023540491498
Christopher St-Sheridan Sq,0.007313883092284
Houston St,0.002218942532415
Canal St and Varick St,0.001861292090792
Franklin St,0.005478004332606
Chambers St and West Broadway,0.020792870188919
WTC Cortlandt,0.010433135068727
Rector St,0.022356108568309
South Ferry,0.005764622082226
Wakefield-241 St,4e-15
Nereid Av,1.6e-14
233 St,6e-14
225 St,2.34e-13
219 St,9.06e-13
Gun Hill Rd and White Plains Rd,3.51e-12
Burke Av,1.3596e-11
Allerton Av,5.2673e-11
Pelham Pkwy and White Plains Rd,2.04079e-10
Bronx Park East,7.90771e-10
E 180 St,3.064339e-09
West Farms Sq-E Tremont Av,1.1084772e-08
174 St,4.2757029e-08
Freeman St,1.65669884e-07
Simpson St,6.42141732e-07
Intervale Av,2.489126825e-06
Prospect Av and Westchester Av,9.648993276e-06
Jackson Av,3.7405334637e-05
3 Av-149 St,0.000145010692495
149 St-Grand Concourse,0.000562185984744
135 St and Lenox Av,0.000229423714615
125 St and Malcom X Blvd,0.000327468881498
116 St and Malcom X Blvd,0.00112452186458
Central Park North (110 St),0.004322076973867
Park Place,0.042054867286434
Fulton St,0.153140679857711
Wall St and William St,0.042189691782061
Clark St,0.021353094798266
Borough Hall,0.046126755090191
