Node,eigenvector Centrality
Van Cortlandt Park-242 St,1.5034018474438815e-10
238 St,6.347740111071383e-10
231 St,2.5282407274842126e-09
Marble Hill-225 St,1.0034279179040695e-08
215 St,3.982091801938727e-08
207 St,1.5804844032828434e-07
Dyckman St and Nagle Av,6.273717903432788e-07
191 St,2.4906367683672746e-06
181 St and St Nicholas Av,9.88873940140869e-06
168 St-Washington Hts,3.926550631368027e-05
157 St,0.00015592472876885152
145 St and Broadway,0.000619214797628764
137 St-City College,0.0024590010623207004
125 St and Broadway,0.009762320916210872
116 St-Columbia University,0.038706346709275634
Cathedral Pkwy (110 St) and Broadway,0.15265750802518369
103 St and Broadway,0.5899428627533635
96 St and Broadway,2.1236064424618486
86 St and Broadway,1.0155823119759575
79 St and Broadway,1.8981079883779164
72 St and Broadway,5.528523095791949
66 St-Lincoln Center,2.9230644215146255
59 St-Columbus Circle,4.99602395959891
50 St and Broadway,5.389270003892762
Times Sq-42 St,11.469472801038812
34 St-Penn Station,7.975611745082269
28 St and 7th Av,2.9104133474355325
23 St and 7th Av,1.0739109710152457
18 St,1.2431385359740326
14 St and 6 Av,3.5909333257418337
Christopher St-Sheridan Sq,1.0762309251451625
Houston St,0.32746532200680084
Canal St and Varick St,0.2559478175090024
Franklin St,0.7301826964558844
Chambers St and West Broadway,2.5258503362756097
WTC Cortlandt,1.2826014616213284
Rector St,2.4803567395723145
South Ferry,0.7001805067904886
Wakefield-241 St,1.5099033134901988e-13
Nereid Av,1.2061462939526792e-12
233 St,5.332623231877775e-12
225 St,2.1676882511171888e-11
219 St,8.651035443516384e-11
Gun Hill Rd and White Plains Rd,3.4373037748708227e-10
Burke Av,1.3644267936543363e-09
Allerton Av,5.41537481341012e-09
Pelham Pkwy and White Plains Rd,2.1495051043529243e-08
Bronx Park East,8.532891148118042e-08
E 180 St,3.3876716003456623e-07
West Farms Sq-E Tremont Av,1.2597557524481963e-06
174 St,4.980910406072512e-06
Freeman St,1.9775003847955144e-05
Simpson St,7.853524414553892e-05
Intervale Av,0.00031191878523954624
Prospect Av and Westchester Av,0.0012388641965330133
Jackson Av,0.004919853038660775
3 Av-149 St,0.019525519194384777
149 St-Grand Concourse,0.07728528484829174
135 St and Lenox Av,0.030573817363147557
125 St and Malcom X Blvd,0.043930395575072154
116 St and Malcom X Blvd,0.15394951306218493
Central Park North (110 St),0.5902324992487609
Park Place,4.396985827455028
Fulton St,10.518966166643628
Wall St and William St,4.372645639410321
Clark St,2.395337091331679
Borough Hall,4.4663784480176325
Hoyt St,3.830186108315163
Nevins St,8.370814666355853
Atlantic Av-Barclays Ctr,16.059216516426456
Bergen St and Flatbush Av,7.80234459641592
Grand Army Plaza,3.436123360795879
Eastern Pkwy-Brooklyn Museum,3.8355124342303246
Franklin Av-Medgar Evers College,8.955092974251821
President St-Medgar Evers College,3.3460658262091023
Sterling St,0.9880823895688937
