School    ,Station,PC3,PC2,Cluster
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",Broad St,0.38216582,10.018318,2
Frederick Douglass Academy - [HS] 05M499,Harlem-148 St,-0.43891984,6.473924,1
Humanities Preparatory Academy - [HS] 02M605,18 St,-0.03489736,10.766243,3
Gramercy Arts High School - [HS] 02M374,14 St-Union Sq,-0.77171138,8.446662,1
Chelsea Career and Technical Education High School - [HS] 02M615,Spring St and 6th Av,0.5509982,8.466883,2
West End Secondary School - [HS] 03M291,66 St-Lincoln Center,0.40284671,9.437918,2
Manhattan Center for Science and Mathematics - [HS] 04M435,116 St and Lexington Av,-0.63343469,11.719997,3
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",137 St-City College,-1.60938562,10.865847,4
Beacon High School - [HS] 03M479,42 St-Port Authority Bus Terminal,0.47981586,8.13269,1
Professional Performing Arts High School - [HS] 02M408,50 St and 8th Av,0.049374,9.100701,2
Mott Hall High School - [HS] 05M304,135 St and St. Nicholas Av,-0.42369527,8.368601,1
N.Y.C. Museum School - [HS] 02M414,14 St and 8 Av,0.91101588,9.714626,2
Eagle Academy for Young Men of Harlem - [HS] 05M148,135 St and St. Nicholas Av,-0.20327879,8.556538,1
Art and Design High School - [HS] 02M630,Lexington Av/53 St,-0.56281361,8.612645,1
NYC iSchool - [HS] 02M376,Spring St and 6th Av,0.23197495,11.313381,3
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",Delancey St-Essex St,-1.56144852,10.205259,4
Urban Assembly School for the Performing Arts - [HS] 05M369,125 St and Broadway,-1.1505629,6.794343,1
"Urban Assembly School of Design and Construction, The - [HS] 02M300",50 St and 8th Av,-0.26586579,8.814058,1
Gregorio Luperon High School for Science and Mathematics - [HS] 06M552,168 St,-1.27289233,10.065349,4
The Urban Assembly School for Green Careers - [HS] 03M402,86 St and Broadway,0.1719485,7.945109,1
Democracy Preparatory Harlem Charter School - [HS] 84M481,135 St and Lenox Av,-1.02070257,8.167139,1
Pace High School - [HS] 02M298,Grand St,1.15809121,9.636238,2
Murray Hill Academy - [HS] 02M432,33 St,0.45669747,10.589875,3
"Facing History School, The - [HS] 02M303",50 St and 8th Av,-0.29168895,10.434081,3
