Node,,
1 Av ,"17,338",
103 St and Broadway,"8,775",
103 St and Lexington,"8,513",
103 St and Central Park W,"3,204",
110 St,"6,704",
116 St and Malcom X Blvd,"6,164",
116 St and Lexington Av,"8,766",
116 St and Frederick Douglass Blvd,"4,555",
116 St-Columbia University,"11,001",
125 St and Broadway,"6,175",
"""125 St and Malcom X Blvd""","8,198",
125 St and Lexington Av,"15,497",
125 St and St Nicholas Av,"17,239",
135 St and Lenox Av,"6,985",
135 St and St. Nicholas Av,"3,563",
137 St-City College ,"8,428",
14 St and 8 Av,"32,462",
14 St and 6 Av,"34,811",
14 St-Union Sq,"65,104",
145 St and Broadway,"6,447",
Lenox Av and W 145 St,"1,890",
145 St and St Nicholas Av,"14,613",
155 St and Frederick Douglas Blvd,"1,920",
155 St and St Nicholas Av,"1,644",
157 St ,"7,148",
163 St-Amsterdam Av,"2,583",
168 St ,"16,523",
175 St ,"7,326",
18 St ,"5,607",
181 St and St Nicholas Av,"7,582",
181 St and Fort Washington Av,"5,646",
190 St ,"3,081",
191 St ,"5,348",
2 Av ,"11,660",
207 St ,"4,255",
215 St ,"1,485",
23 St and 7th Av,"9,477",
23 St and Park Av S,"17,987",
23 St and 8th Av,"14,132",
23 St and 6th Av,"17,867",
23 St and Broadway,"12,955",
28 St and 7th Av,"9,576",
28 St and Park Av S,"13,996",
28 St and Broadway,"8,039",
3 Av ,"4,544",
33 St ,"18,307",
34 St-Herald Sq,"72,890",
34 St-Hudson Yards ,"17,443",
34 St-Penn Station,"99,878",
47-50 Sts-Rockefeller Ctr,"38,077",
49 St,"16,368",
5 Av/53 St,"16,224",
5 Av/59 St,"10,589",
50 St and Broadway,"18,190",
50 St and 8th Av,"14,477",
57 St,"8,302",
57 St-7 Av,"23,422",
59 St-Columbus Circle,"48,661",
66 St-Lincoln Center,"14,897",
68 St-Hunter College,"17,986",
7 Av and 53rd St,"12,405",
72 St and Broadway,"27,088",
72 St and Central Park W,"6,968",
72 St and 2nd Av,"21,191",
77 St and Lexington Av,"20,406",
79 St and Broadway,"10,651",
8 St-NYU,"11,078",
81 St-Museum of Natural History,"10,165",
86 St and Broadway,"12,406",
86 St and Lexington Av,"32,712",
86 St and Central Park W,"7,976",
86 St and 2nd Av,"16,639",
96 St and Broadway,"24,224",
96 St and Lexington Av,"12,647",
96 St and Central Park W,"6,986",
96 St and 2nd Av,"12,093",
Astor Pl,"11,137",
Bowery,"2,441",
Bowling Green,"14,906",
Broad St,"3,982",
Broadway-Lafayette St,"27,303",
Brooklyn Bridge-City Hall,"19,361",
Canal St and Varick St,"3,595",
Canal St and 6th Ave,"12,596",
Canal St,"30,763",
Cathedral Pkwy (110 St) and Broadway,"8,721",
"Cathedral Pkwy (110 St) and Frederick Douglass Blvd""","5,217",
Central Park North (110 St),"4,915",
Chambers St and West Broadway,"12,798",
Chambers St and Church St)/Park Place/Cortlandt St/World Trade Center,"40,703",
Christopher St-Sheridan Sq,"7,965",
City Hall,"3,842",
Delancey St-Essex St,"20,608",
Dyckman St and Nagle Av,"4,704",
"Dyckman St and Broadway""","4,145",
East Broadway,"11,083",
Franklin St,"4,337",
Fulton St,"57,533",
Grand Central-42 St,"99,308",
Grand St,"17,686",
Harlem-148 St,"2,172",
Houston St,"8,908",
Inwood-207 St,"5,181",
Lexington Av/59 St,"37,615",
Lexington Av/53 St/51 St,"38,077",
Lexington Av/63 St,"11,945",
Marble Hill-225 St,"3,429",
Prince St,"8,363",
Rector St,"8,617",
Roosevelt Island,"5,078",
Whitehall St-South Ferry/South Ferry,"18,765",
Spring St and Lafayette,"8,253",
Spring St and 6th Av,"9,575",
Times Sq-42 St/42 St-Bryant Pk/5 Av,"167,487","54,266,441"
Wall St and William St,"12,395",
Wall St and Broadway,"11,163",
W 4 St-Wash Sq,"29,048",
WTC Cortlandt,"10,218",
