School,X,Y,Cluster
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",0.38216582,10.018318,2
Frederick Douglass Academy - [HS] 05M499,-0.43891984,6.473924,3
Humanities Preparatory Academy - [HS] 02M605,-0.03489736,10.766243,2
Gramercy Arts High School - [HS] 02M374,-0.77171138,8.446662,3
Chelsea Career and Technical Education High School - [HS] 02M615,0.5509982,8.466883,3
West End Secondary School - [HS] 03M291,0.40284671,9.437918,2
Manhattan Center for Science and Mathematics - [HS] 04M435,-0.63343469,11.719997,2
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",-1.60938562,10.865847,1
Beacon High School - [HS] 03M479,0.47981586,8.13269,3
Professional Performing Arts High School - [HS] 02M408,0.049374,9.100701,3
Mott Hall High School - [HS] 05M304,-0.42369527,8.368601,3
N.Y.C. Museum School - [HS] 02M414,0.91101588,9.714626,2
Eagle Academy for Young Men of Harlem - [HS] 05M148,-0.20327879,8.556538,3
Art and Design High School - [HS] 02M630,-0.56281361,8.612645,3
NYC iSchool - [HS] 02M376,0.23197495,11.313381,2
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",-1.56144852,10.205259,1
Urban Assembly School for the Performing Arts - [HS] 05M369,-1.1505629,6.794343,3
"Urban Assembly School of Design and Construction, The - [HS] 02M300",-0.26586579,8.814058,3
Gregorio Luperon High School for Science and Mathematics - [HS] 06M552,-1.27289233,10.065349,1
The Urban Assembly School for Green Careers - [HS] 03M402,0.1719485,7.945109,3
Democracy Preparatory Harlem Charter School - [HS] 84M481,-1.02070257,8.167139,3
Pace High School - [HS] 02M298,1.15809121,9.636238,2
Murray Hill Academy - [HS] 02M432,0.45669747,10.589875,2
"Facing History School, The - [HS] 02M303",-0.29168895,10.434081,2
The Urban Assembly School for Global Commerce - [HS] 05M157,-2.97456334,8.297572,1
Eleanor Roosevelt High School - [HS] 02M416,-1.53323032,10.380424,1
The Global Learning Collaborative - [HS] 03M403,-0.45837067,9.415962,1
"High School for Law, Advocacy and Community Justice - [HS] 03M492",0.47609791,7.658066,3
High School for Environmental Studies - [HS] 02M400,-1.60345279,9.416352,1
Manhattan Bridges High School - [HS] 02M542,-0.1506017,11.053986,2
High School of Arts and Technology - [HS] 03M494,0.24006346,6.413108,3
Food and Finance High School - [HS] 02M288,0.15678596,7.159642,3
Frank McCourt High School - [HS] 03M417,-0.24538779,9.256039,3
"New Explorations into Science, Technology and Math High School - [HS] 01M539",-1.37855173,10.507605,1
Urban Assembly Maker Academy - [HS] 02M282,2.1050312,9.23571,2
The Clinton School - [HS] 02M260,-0.58762161,9.53314,1
Leadership and Public Service High School - [HS] 02M425,-1.29316751,7.829406,3
"Urban Assembly School for Media Studies, The - [HS] 03M307",-0.24197102,9.801477,2
The High School for Climate Justice - [HS] 02M655,-1.65862202,8.597907,1
A. Philip Randolph Campus High School - [HS] 06M540,-0.18326641,7.497668,3
47 The American Sign Language and English Secondary School - [HS] 02M047,1.1686998,9.750214,2
Special Music School - [HS] 03M859,-0.06732558,11.665816,2
Richard R. Green High School of Teaching - [HS] 02M580,-0.36500676,9.234359,3
New Design High School - [HS] 02M543,-1.19249697,9.331058,1
Academy for Software Engineering - [HS] 02M546,-0.92270977,9.645531,1
Millennium High School - [HS] 02M418,1.08025596,9.080004,2
High School of Economics and Finance - [HS] 02M489,-1.06329414,8.668137,3
Bard High School Early College - [HS] 01M696,-1.17666962,9.911255,1
Repertory Company High School for Theatre Arts - [HS] 02M531,-1.31779507,9.277914,1
Quest to Learn - [HS] 02M422,0.90035841,8.300343,3
