Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust
-0.32,-0.355,-0.3631990923,-0.381,-1.16880219,4.63,3.96,3.69,4.28,4.2,4.2,4.16
-0.32,-0.355,-0.3631990923,-0.381,-1.16880219,4.58,4.46,2.82,3.96,3.77,3.77,3.92
-0.32,1.520793291,-0.6122022525,1.669189254,0.8897060964,4.26,3.88,4.02,3.69,2.74,4.33,3.33
0.52,1.818626913,-0.2047747479,4.098730602,1.216550734,3.31,3.72,3.06,3.28,2.82,3.21,2.98
0.52,0.8955299065,-0.6500413337,0.3309269754,0.2035378153,3.07,3.56,4.25,3.99,4.65,3.7,4.07
6.44,2.124894299,7.035861186,7.665829304,1.552650642,4.7,4.22,2.94,3.98,3.37,2.48,2.96
0.52,1.818626913,-0.2047747479,4.098730602,1.216550734,3.78,3.14,3.49,3.53,3.38,3.22,3.63
0.52,0.8955299065,-0.6500413337,0.3309269754,0.2035378153,3.22,2.8,2.18,2.98,2.75,2.9,2.7
-0.32,-0.355,-0.3631990923,-0.381,-1.16880219,4.43,4.4,4.43,3.92,4.52,4.06,4.18
0.52,0.8955299065,-0.6500413337,0.3309269754,0.2035378153,2.74,2.39,2.86,3.27,2.66,2.26,3.47
2.21,1.622183874,-0.4036117532,3.021934157,1.00097281,3.21,3.8,3.74,3.57,3.49,3.72,3.57
0.52,0.8955299065,-0.6500413337,0.3309269754,0.2035378153,3.01,2.76,3.54,3.62,3.35,3.67,4.09
0.52,0.8955299065,-0.6500413337,0.3309269754,0.2035378153,3.55,3.96,4.69,3.64,4.15,3.82,4.07
-0.32,-0.355,-0.3631990923,-0.381,-1.16880219,3.17,3.67,4.33,3.88,4.41,4.32,4.13
-0.32,1.496967609,-0.6265434322,1.781290488,0.8635596313,3.18,3.52,3.22,3.39,3.53,2.79,2.91
-0.32,1.415826396,-0.6685599181,1.338021931,0.7745147135,2.97,3.09,3.8,3.7,4.08,4.5,4.93
6.44,2.124894299,7.035861186,7.665829304,1.552650642,3.83,3.04,3.03,3.09,2.98,3.1,2.95
