School Name,Reading,Math,Writing,Total,Address,lat,lng,Stop Name,Stop Lat,Stop Lng
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,355,404,363,1122,"220 Henry St, New York, NY 10002, USA",40.71345,-73.986,,,
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,383,423,366,1172,"200 Monroe St, New York, NY 10002, USA",40.71219,-73.9842,,,
EAST SIDE COMMUNITY SCHOOL,377,402,370,1149,"420 E 12th St, New York, NY 10009, USA",40.72911,-73.9825,,,
FORSYTH SATELLITE ACADEMY,414,401,359,1174,"198 Forsyth St, New York, NY 10002, USA",40.7222,-73.9907,,,
MARTA VALLE HIGH SCHOOL,390,433,384,1207,"145 Stanton St 4th Floor, New York, NY 10002, USA",40.7202,-73.9861,,,
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,332,557,316,1205,"145 Stanton St, New York, NY 10002, USA",40.72009,-73.986,,,
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",522,574,525,1621,"111 Columbia St, New York, NY 10002",40.72031,-73.978,,,
CASCADES HIGH SCHOOL,417,418,411,1246,"198 Forsyth St, New York, NY 10002, USA",40.72218,-73.9906,,,
BARD HIGH SCHOOL EARLY COLLEGE,624,604,628,1856,"525 E Houston St, New York, NY 10002",40.71919,-73.9732,,,
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,395,400,387,1182,"223 E 23rd St, New York, NY 10010, USA",40.73878,-73.9814,,,
FOOD AND FINANCE HIGH SCHOOL,409,393,392,1194,"525 W 50th St, New York, NY 10019, USA",40.76531,-73.9923,,,
ESSEX STREET ACADEMY,394,384,378,1156,"350 Grand St, New York, NY 10002, USA",40.71746,-73.9896,,,
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,374,375,362,1111,"525 W 50th St, New York, NY 10019, USA",40.76554,-73.9932,,,
PACE HIGH SCHOOL,423,438,432,1293,"4065 Norris Rd, Pace, FL 32571, USA",30.61429,-87.1543,,,
URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,404,449,416,1269,"525 W 50th St, New York, NY 10019, USA",40.76554,-73.9932,,,
FACING HISTORY SCHOOL,353,358,340,1051,"525 W 50th St, New York, NY 10019, USA",40.76543,-73.9927,,,
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,",375,388,385,1148,"350 Grand St, New York, NY 10002, USA",40.71735,-73.9893,,,
LOWER MANHATTAN ARTS ACADEMY,403,392,405,1200,"Manhattan, New York, NY, USA",40.78306,-73.9712,,,
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",408,390,390,1188,"351 W 18th St, New York, NY 10011, USA",40.74323,-74.0024,,,
URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,373,370,384,1127,"26 Broadway, New York, NY 10004",40.70564,-74.0122,,,
GRAMERCY ARTS HIGH SCHOOL,391,391,394,1176,"40 Irving Pl, New York, NY 10003, USA",40.73543,-73.9873,,,
NYC ISCHOOL,473,483,479,1435,"131 6th Ave, New York, NY 10013, USA",40.72468,-74.0051,,,
EMMA LAZARUS HIGH SCHOOL,319,512,357,1188,"100 Hester St, New York, NY 10002, USA",40.71652,-73.9932,,,
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,465,493,461,1419,"444 W 56th St, New York, NY 10019, USA",40.76798,-73.9882,,,
INSTITUTE FOR COLLABORATIVE EDUCATION,492,465,467,1424,"345 E 15th St, New York, NY 10003, USA",40.73267,-73.9826,,,
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,509,490,523,1522,"328 W 48th St, New York, NY 10036, USA",40.76123,-73.9886,,,
BARUCH COLLEGE CAMPUS HIGH SCHOOL,496,563,518,1577,"55 E 25th St, New York, NY 10010, USA",40.74185,-73.9859,,,
N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,537,590,550,1677,"333 W 17th St, New York, NY 10011, USA",40.74243,-74.0026,,,
SCHOOL OF THE FUTURE HIGH SCHOOL,517,533,515,1565,"127 E 22nd St, New York, NY 10010, USA",40.73909,-73.9854,,,
N.Y.C. MUSEUM SCHOOL,468,492,459,1419,"333 W 17th St, New York, NY 10011, USA",40.74244,-74.0027,,,
ELEANOR ROOSEVELT HIGH SCHOOL,572,594,592,1758,"411 E 76th St, New York, NY 10021",40.7704,-73.9524,,,
MILLENNIUM HIGH SCHOOL,528,553,533,1614,"75 Broad St 13th floor, New York, NY 10004, USA",40.70462,-74.0112,,,
LANDMARK HIGH SCHOOL,390,399,381,1170,"351 W 18th St, New York, NY 10011, USA",40.74323,-74.0024,,,
HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,429,449,428,1306,"345 E 15th St, New York, NY 10003, USA",40.73255,-73.9827,,,
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,416,426,391,1233,"90 Trinity Pl, New York, NY 10006, USA",40.70902,-74.0124,,,
MANHATTAN VILLAGE ACADEMY,441,473,458,1372,"43 W 22nd St, New York, NY 10010, USA",40.74192,-73.9923,,,
BAYARD RUSTIN EDUCATIONAL COMPLEX,378,365,368,1111,"351 W 18th St, New York, NY 10011, USA",40.74376,-74.0027,,,
VANGUARD HIGH SCHOOL,395,416,388,1199,"7 NW 28th St, Ocala, FL 34475, USA",29.2161,-82.137,,,
MANHATTAN INTERNATIONAL HIGH SCHOOL,376,460,391,1227,"317 E 67th St, New York, NY 10065, USA",40.76537,-73.9597,,,
WASHINGTON IRVING HIGH SCHOOL,373,387,360,1120,"40 Irving Pl, New York, NY 10003, USA",40.73547,-73.9874,,,
STUYVESANT HIGH SCHOOL,679,735,682,2096,"345 Chambers St, New York, NY 10282, USA",40.71781,-74.0138,,,
HIGH SCHOOL OF ECONOMICS AND FINANCE,443,489,442,1374,"100 Trinity Pl, New York, NY 10006, USA",40.70926,-74.0123,,,
UNITY CENTER FOR URBAN TECHNOLOGIES,370,349,351,1070,"111 E 33rd St, New York, NY 10016, USA",40.74642,-73.9812,,,
TALENT UNLIMITED HIGH SCHOOL,469,472,475,1416,"300 E 68th St, New York, NY 10065, USA",40.76564,-73.9598,,,
