Line,Stop Name,Daytime Routes,GTFS Latitude,GTFS Longitude,Georeference
West End,Bay 50 St,D,40.588841,-73.983765,"(-73.983765, 40.588841)"
Pelham,Castle Hill Av,6,40.834255,-73.851222,"(-73.851222, 40.834255)"
Franklin Shuttle,Franklin Av,S,40.680596,-73.955827,"(-73.955827, 40.680596)"
Jamaica,Delancey St-Essex St,J M Z,40.718315,-73.987437,"(-73.987437, 40.718315)"
Staten Island,Grasmere,SIR,40.603117,-74.084087,"(-74.084087, 40.603117)"
Eastern Pky,Saratoga Av,3,40.661453,-73.916327,"(-73.916327, 40.661453)"
Clark St,Wall St,2 3,40.706821,-74.0091,"(-74.0091, 40.706821)"
6th Av - Culver,Avenue P,F,40.608944,-73.973022,"(-73.973022, 40.608944)"
Flushing,Times Sq-42 St,7,40.755477,-73.987691,"(-73.987691, 40.755477)"
6th Av - Culver,East Broadway,F,40.713715,-73.990173,"(-73.990173, 40.713715)"
Astoria,Astoria-Ditmars Blvd,N W,40.775036,-73.912034,"(-73.912034, 40.775036)"
Jamaica,Cleveland St,J,40.679947,-73.884639,"(-73.884639, 40.679947)"
Staten Island,Dongan Hills,SIR,40.588849,-74.09609,"(-74.09609, 40.588849)"
Eastern Pky,New Lots Av,3,40.666235,-73.884079,"(-73.884079, 40.666235)"
Lexington Av,Bleecker St,6,40.725915,-73.994659,"(-73.994659, 40.725915)"
8th Av - Fulton St,Chambers St,A C,40.714111,-74.008585,"(-74.008585, 40.714111)"
Canarsie,6 Av,L,40.737335,-73.996786,"(-73.996786, 40.737335)"
Concourse,170 St,B D,40.839306,-73.9134,"(-73.9134, 40.839306)"
Queens Blvd,5 Av/53 St,E M,40.760167,-73.975224,"(-73.975224, 40.760167)"
Broadway - 7Av,Cathedral Pkwy (110 St),1,40.803967,-73.966847,"(-73.966847, 40.803967)"
Astoria,39 Av-Dutch Kills,N W,40.752882,-73.932755,"(-73.932755, 40.752882)"
Flushing,111 St,7,40.75173,-73.855334,"(-73.855334, 40.75173)"
Canarsie,Lorimer St,L,40.714063,-73.950275,"(-73.950275, 40.714063)"
6th Av - Culver,Bay Pkwy,F,40.620769,-73.975264,"(-73.975264, 40.620769)"
Jerome Av,Mosholu Pkwy,4,40.87975,-73.884655,"(-73.884655, 40.87975)"
Lenox - White Plains Rd,116 St,2 3,40.802098,-73.949625,"(-73.949625, 40.802098)"
Queens Blvd,Northern Blvd,M R,40.752885,-73.906006,"(-73.906006, 40.752885)"
Rockaway,Beach 105 St,A S,40.583209,-73.827559,"(-73.827559, 40.583209)"
Broadway - Brighton,Times Sq-42 St,N Q R W,40.754672,-73.986754,"(-73.986754, 40.754672)"
Jerome Av,176 St,4,40.84848,-73.911794,"(-73.911794, 40.84848)"
Jerome Av,Burnside Av,4,40.853453,-73.907684,"(-73.907684, 40.853453)"
Broadway - Brighton,W 8 St-NY Aquarium,F Q,40.576127,-73.975939,"(-73.975939, 40.576127)"
8th Av - Fulton St,Dyckman St,A,40.865491,-73.927271,"(-73.927271, 40.865491)"
Second Av,96 St,Q,40.784318,-73.947152,"(-73.947152, 40.784318)"
Eastern Pky,Grand Army Plaza,2 3,40.675235,-73.971046,"(-73.971046, 40.675235)"
