Node,degree Centrality
Van Cortlandt Park-242 St,1.0
238 St,1.888888888888889
231 St,1.888888888888889
Marble Hill-225 St,1.888888888888889
215 St,1.888888888888889
207 St,1.888888888888889
Dyckman St and Nagle Av,1.888888888888889
191 St,1.888888888888889
181 St and St Nicholas Av,1.888888888888889
168 St-Washington Hts,1.888888888888889
157 St,1.888888888888889
145 St and Broadway,1.888888888888889
137 St-City College,1.888888888888889
125 St and Broadway,1.888888888888889
116 St-Columbia University,1.888888888888889
Cathedral Pkwy (110 St) and Broadway,1.888888888888889
103 St and Broadway,1.888888888888889
96 St and Broadway,3.666666666666667
86 St and Broadway,1.888888888888889
79 St and Broadway,1.888888888888889
72 St and Broadway,3.666666666666667
66 St-Lincoln Center,1.888888888888889
59 St-Columbus Circle,6.333333333333333
50 St and Broadway,1.888888888888889
Times Sq-42 St,8.11111111111111
34 St-Penn Station,5.444444444444445
28 St and 7th Av,1.888888888888889
23 St and 7th Av,1.888888888888889
18 St,1.888888888888889
14 St and 6 Av,5.444444444444445
Christopher St-Sheridan Sq,1.888888888888889
Houston St,1.888888888888889
Canal St and Varick St,1.888888888888889
Franklin St,1.888888888888889
Chambers St and West Broadway,3.666666666666667
WTC Cortlandt,1.888888888888889
Rector St,3.666666666666667
South Ferry,1.888888888888889
Wakefield-241 St,1.0
Nereid Av,1.888888888888889
233 St,1.888888888888889
225 St,1.888888888888889
219 St,1.888888888888889
Gun Hill Rd and White Plains Rd,1.888888888888889
Burke Av,1.888888888888889
Allerton Av,1.888888888888889
Pelham Pkwy and White Plains Rd,1.888888888888889
Bronx Park East,1.888888888888889
E 180 St,2.777777777777778
West Farms Sq-E Tremont Av,1.888888888888889
174 St,1.888888888888889
Freeman St,1.888888888888889
Simpson St,1.888888888888889
Intervale Av,1.888888888888889
Prospect Av and Westchester Av,1.888888888888889
Jackson Av,1.888888888888889
3 Av-149 St,1.888888888888889
149 St-Grand Concourse,3.666666666666667
135 St and Lenox Av,2.777777777777778
125 St and Malcom X Blvd,1.888888888888889
116 St and Malcom X Blvd,1.888888888888889
Central Park North (110 St),1.888888888888889
Park Place,1.888888888888889
Fulton St,7.222222222222222
Wall St and William St,1.888888888888889
Clark St,1.888888888888889
Borough Hall,3.666666666666667
Hoyt St,1.888888888888889
Nevins St,2.777777777777778
Atlantic Av-Barclays Ctr,8.11111111111111
Bergen St and Flatbush Av,1.888888888888889
Grand Army Plaza,1.888888888888889
Eastern Pkwy-Brooklyn Museum,1.888888888888889
Franklin Av-Medgar Evers College,4.555555555555555
President St-Medgar Evers College,1.888888888888889
Sterling St,1.888888888888889
Winthrop St,1.888888888888889
Church Av and Nostrand Av,1.888888888888889
Beverly Rd,3.666666666666667
Newkirk Av-Little Haiti,1.888888888888889
Flatbush Av-Brooklyn College,1.0
Harlem-148 St,1.0
Lenox Av and W 145 St,1.888888888888889
Nostrand Av and Eastern Pkwy,1.888888888888889
Kingston Av,1.888888888888889
Crown Hts-Utica Av,2.777777777777778
Sutter Av-Rutland Rd,1.888888888888889
Saratoga Av,1.888888888888889
Rockaway Av and Livonia Av,1.888888888888889
Junius St,1.888888888888889
Pennsylvania Av,1.888888888888889
Van Siclen Av and Livonia Av,1.888888888888889
New Lots Av and Warwick St,1.0
Woodlawn,1.0
Mosholu Pkwy,1.888888888888889
Bedford Park Blvd-Lehman College,1.888888888888889
Kingsbridge Rd and Jerome Av,1.888888888888889
Fordham Rd and Jerome Av,1.888888888888889
183 St,1.888888888888889
Burnside Av,1.888888888888889
176 St,1.888888888888889
Mt Eden Av,1.888888888888889
170 St and Jerome Av,1.888888888888889
167 St and River Av,1.888888888888889
161 St-Yankee Stadium,3.666666666666667
138 St-Grand Concourse,1.888888888888889
125 St and Lexington Av,3.666666666666667
86 St and Lexington Av,3.666666666666667
59 St and Lexington Av,3.666666666666667
Grand Central-42 St,5.444444444444445
14 St-Union Sq,9.0
Brooklyn Bridge-City Hall,2.777777777777778
Wall St and Broadway,1.888888888888889
Bowling Green,1.888888888888889
Eastchester-Dyre Av,1.0
Baychester Av,1.888888888888889
Gun Hill Rd and Sexton Pl,1.888888888888889
Pelham Pkwy and Laconia Av,1.888888888888889
Morris Park,1.888888888888889
Pelham Bay Park,1.0
Buhre Av,1.888888888888889
Middletown Rd,1.888888888888889
Westchester Sq-E Tremont Av,1.888888888888889
Zerega Av,1.888888888888889
Castle Hill Av,1.888888888888889
Parkchester,1.888888888888889
St Lawrence Av,1.888888888888889
Morrison Av-Soundview,1.888888888888889
Elder Av,1.888888888888889
Whitlock Av,1.888888888888889
Hunts Point Av,1.888888888888889
Longwood Av,1.888888888888889
E 149 St,1.888888888888889
E 143 St-St Mary's St,1.888888888888889
Cypress Av,1.888888888888889
Brook Av,1.888888888888889
3 Av-138 St,1.888888888888889
116 St and Lexington Av,1.888888888888889
110 St,1.888888888888889
103 St and Lexington,1.888888888888889
96 St and Lexington Av,1.888888888888889
77 St and Lexington Av,1.888888888888889
68 St-Hunter College,1.888888888888889
51 St,1.888888888888889
33 St,1.888888888888889
28 St and Park Av S,1.888888888888889
23 St and Park Av S,1.888888888888889
Astor Pl,1.888888888888889
Bleecker St,1.888888888888889
Spring St and Lafayette,1.888888888888889
Canal St,8.11111111111111
Flushing-Main St,1.0
Mets-Willets Point,1.888888888888889
111 St and Roosevelt Av,1.888888888888889
103 St-Corona Plaza,1.888888888888889
Junction Blvd,1.888888888888889
90 St-Elmhurst Av,1.888888888888889
82 St-Jackson Hts,1.888888888888889
74 St-Broadway,1.888888888888889
69 St,1.888888888888889
61 St-Woodside,1.888888888888889
52 St,1.888888888888889
46 St-Bliss St,1.888888888888889
40 St-Lowery St,1.888888888888889
33 St-Rawson St,1.888888888888889
Queensboro Plaza,3.666666666666667
Court Sq,2.777777777777778
Hunters Point Av,1.888888888888889
Vernon Blvd-Jackson Av,1.888888888888889
5 Av,1.888888888888889
34 St-Hudson Yards,1.0
Inwood-207 St,1.0
Dyckman St and Broadway,1.888888888888889
190 St,1.888888888888889
181 St and Fort Washington Av,1.888888888888889
175 St,1.888888888888889
168 St,2.777777777777778
145 St and St Nicholas Av,4.555555555555555
125 St and St Nicholas Av,3.666666666666667
42 St-Port Authority Bus Terminal,2.777777777777778
14 St and 8 Av,3.666666666666667
W 4 St-Wash Sq,5.444444444444445
Canal St and 6th Ave,3.666666666666667
Chambers St and Church St,1.888888888888889
High St,1.888888888888889
Jay St-MetroTech,3.666666666666667
Hoyt-Schermerhorn Sts,4.555555555555555
Nostrand Av and Fulton St,3.666666666666667
Utica Av,3.666666666666667
Broadway Junction,7.222222222222222
Euclid Av,2.777777777777778
Grant Av,1.888888888888889
80 St,1.888888888888889
88 St,1.888888888888889
Rockaway Blvd,1.888888888888889
104 St and Liberty Av,1.888888888888889
111 St and Liberty Av,1.888888888888889
Ozone Park-Lefferts Blvd,1.888888888888889
Aqueduct Racetrack,1.888888888888889
Howard Beach-JFK Airport,1.888888888888889
Broad Channel,2.777777777777778
Beach 67 St,1.888888888888889
Beach 60 St,1.888888888888889
Beach 44 St,1.888888888888889
Beach 36 St,1.888888888888889
Beach 25 St,1.888888888888889
Far Rockaway-Mott Av,1.0
Beach 90 St,1.888888888888889
Beach 98 St,1.888888888888889
Beach 105 St,1.888888888888889
Rockaway Park-Beach 116 St,1.0
Bedford Park Blvd,1.888888888888889
Kingsbridge Rd and Grand Concourse,1.888888888888889
Fordham Rd and Grand Concourse,1.888888888888889
182-183 Sts,1.888888888888889
Tremont Av,1.888888888888889
174-175 Sts,1.888888888888889
170 St and Grand Concourse,1.888888888888889
167 St and Tudor Pl,1.888888888888889
155 St and Frederick Douglas Blvd,1.888888888888889
135 St and St. Nicholas Av,1.888888888888889
116 St and Frederick Douglass Blvd,1.888888888888889
Cathedral Pkwy (110 St) and Frederick Douglass Blvd,1.888888888888889
103 St and Central Park W,1.888888888888889
96 St and Central Park W,1.888888888888889
86 St and Central Park W,1.888888888888889
81 St-Museum of Natural History,1.888888888888889
72 St and Central Park W,1.888888888888889
7 Av and 53rd St,3.666666666666667
47-50 Sts-Rockefeller Ctr,2.777777777777778
42 St-Bryant Pk,2.777777777777778
34 St-Herald Sq,5.444444444444445
Broadway-Lafayette St,2.777777777777778
Grand St,4.555555555555555
DeKalb Av and Flatbush Av Ext,3.666666666666667
7 Av and Park Pl,1.888888888888889
Prospect Park,2.777777777777778
Church Av and 18th Street,3.666666666666667
Newkirk Plaza,3.666666666666667
Kings Hwy and E 15th St,3.666666666666667
Sheepshead Bay,2.777777777777778
Brighton Beach,1.888888888888889
163 St-Amsterdam Av,1.888888888888889
155 St and St Nicholas Av,1.888888888888889
50 St and 8th Av,2.777777777777778
23 St and 8th Av,1.888888888888889
Spring St and 6th Av,1.888888888888889
Lafayette Av,1.888888888888889
Clinton-Washington Avs and Lafayette Av,1.888888888888889
Franklin Av and Fulton St,1.888888888888889
Kingston-Throop Avs,1.888888888888889
Ralph Av,1.888888888888889
Rockaway Av and Fulton St,1.888888888888889
Liberty Av,1.888888888888889
Van Siclen Av and Pitkin Av,1.888888888888889
Shepherd Av,1.888888888888889
Norwood-205 St,1.0
36 St and Fourth Av,4.555555555555555
9 Av,1.888888888888889
Fort Hamilton Pkwy and 44th St,1.888888888888889
50 St and New Utrecht Av,1.888888888888889
55 St,1.888888888888889
62 St,1.888888888888889
71 St,1.888888888888889
79 St and New Utrecht Av,1.888888888888889
18 Av and 85 St,1.888888888888889
20 Av and 86th St,1.888888888888889
