Node,eigenvector Centrality
Van Cortlandt Park-242 St,1.000000000020299
238 St,1.000000000086529
231 St,1.000000000348373
Marble Hill-225 St,1.000000001397768
215 St,1.000000005607346
207 St,1.000000022495933
Dyckman St and Nagle Av,1.000000090256703
191 St,1.000000362144271
181 St and St Nicholas Av,1.000001453141632
168 St-Washington Hts,1.000005831174752
157 St,1.000023400427256
145 St and Broadway,1.000093909425452
137 St-City College,1.000376886420732
125 St and Broadway,1.001512607074503
116 St-Columbia University,1.006070922298453
Cathedral Pkwy (110 St) and Broadway,1.024366595449267
103 St and Broadway,1.097801499185535
96 St and Broadway,1.392559612117713
86 St and Broadway,1.173404759640279
79 St and Broadway,1.346665477840037
72 St and Broadway,2.304456543158612
66 St-Lincoln Center,1.57980608234212
59 St-Columbus Circle,2.167231605906914
50 St and Broadway,2.268857055780867
Times Sq-42 St,5.242061998575872
34 St-Penn Station,3.725396111564825
28 St and 7th Av,1.711254644664031
23 St and 7th Av,1.306784569219361
18 St,1.596607342686155
14 St and 6 Av,3.236685844263035
Christopher St-Sheridan Sq,1.560236086676676
Houston St,1.151733745273807
Canal St and Varick St,1.086633879472923
Franklin St,1.217606920419043
Chambers St and West Broadway,1.841098196401115
WTC Cortlandt,1.286112204395939
Rector St,1.378751701781535
South Ferry,1.094337175189613
Wakefield-241 St,1.000000000000017
Nereid Av,1.000000000000133
233 St,1.000000000000591
225 St,1.000000000002426
219 St,1.000000000009786
Gun Hill Rd and White Plains Rd,1.000000000039307
Burke Av,1.000000000157735
Allerton Av,1.000000000632864
Pelham Pkwy and White Plains Rd,1.000000002539191
Bronx Park East,1.00000001018828
E 180 St,1.000000040881747
West Farms Sq-E Tremont Av,1.000000153863028
174 St,1.000000614918269
Freeman St,1.000002467155775
Simpson St,1.000009901383042
Intervale Av,1.000039738882738
Prospect Av and Westchester Av,1.000159495497841
Jackson Av,1.000640165898869
3 Av-149 St,1.002569489282475
149 St-Grand Concourse,1.010313598701647
135 St and Lenox Av,1.004251090404993
125 St and Malcom X Blvd,1.006753040665899
116 St and Malcom X Blvd,1.024535929365266
Central Park North (110 St),1.097841223293448
Park Place,1.845521795461877
Fulton St,3.76398597319444
Wall St and William St,1.727259458312922
Clark St,1.336955364116876
Borough Hall,1.709511886906482
Hoyt St,1.581489339443118
Nevins St,2.769993152501824
Atlantic Av-Barclays Ctr,7.256291323851572
Bergen St and Flatbush Av,2.586462058935245
Grand Army Plaza,1.508410011712719
Eastern Pkwy-Brooklyn Museum,1.581428596457863
