School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust,Cluster
"New Explorations into Science, Technology and Math High School - [HS] 01M539",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.462548644,4.63,3.96,3.69,4.28,4.2,4.2,4.16,4
Bard High School Early College - [HS] 01M696,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.462548644,4.58,4.46,2.82,3.96,3.77,3.77,3.92,4
The Clinton School - [HS] 02M260,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,1.861483597,4.7,4.22,2.94,3.98,3.37,2.48,2.96,4
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.626112938,3.17,3.67,4.33,3.88,4.41,4.32,4.13,4
High School for Environmental Studies - [HS] 02M400,59 St-Columbus Circle,3.9,1.18989442,1.60999057,0.8173533414,1.626112938,3.35,3.73,3.71,3.3,4.43,3.25,3.35,4
Eleanor Roosevelt High School - [HS] 02M416,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.795267527,4.86,4.33,3.72,4.22,3.81,3.68,3.91,4
International High School at Union Square - [HS] 02M438,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,4.065938965,3.68,3.53,3.71,3.63,3.7,3.22,4.15,4
Vanguard High School - [HS] 02M449,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.789484464,2.94,3.57,3.74,3.51,3.55,3.97,3.7,4
Talent Unlimited High School - [HS] 02M519,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.949675305,4.28,3.43,3.27,3.34,3.5,3.55,3.81,4
Repertory Company High School for Theatre Arts - [HS] 02M531,Times Sq-42 St,5.59,1.793475616,4.130699989,3.975465649,9.0,3.88,3.42,3.46,3.05,3.46,3.88,3.59,4
Union Square Academy for Health Sciences - [HS] 02M533,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,4.065938965,3.66,4.3,4.04,4.06,3.86,1.77,2.86,4
New Design High School - [HS] 02M543,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.921579258,3.42,3.77,3.58,3.93,3.93,2.89,3.79,4
Academy for Software Engineering - [HS] 02M546,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,4.065938965,3.53,3.55,3.83,3.61,4.36,2.39,3.38,4
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.32,0.7879682394,-0.6572958446,-0.03541096853,1.646787388,3.21,3.25,3.38,3.79,3.69,3.74,4.16,4
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,0.52,-0.803,-0.6685599181,-0.381,1.646353658,3.28,2.39,3.94,2.84,4.21,3.06,3.9,4
The Global Learning Collaborative - [HS] 03M403,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.147950025,3.14,3.25,4.31,3.62,3.97,3.04,4.02,4
Young Women's Leadership School - [HS] 03M610,103 St and Broadway,-0.32,0.676232977,0.7707425013,-0.2810423263,1.147950025,4.21,3.86,4.23,3.51,3.97,2.89,3.44,4
The Urban Assembly School for Global Commerce - [HS] 05M157,125 St and Lexington Av,1.37,0.9623006414,3.609438206,-0.2815290538,1.226021373,2.84,2.61,3.15,3.75,3.73,3.77,3.64,4
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,0.52,0.3024491518,-0.1360713594,-0.377126552,1.155130661,3.11,3.14,4.07,3.96,3.62,2.77,3.24,4
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",137 St-City College,-0.32,-0.424,0.4221902945,-0.381,1.293827785,4.99,4.69,4.11,4.39,4.03,3.42,4.11,4
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-0.32,-1.35,-0.1147367567,-0.381,1.265057048,3.93,3.22,3.19,3.5,2.91,3.67,3.73,4
Community Health Academy of the Heights - [HS] 06M346,157 St,-0.32,-0.8,0.2450981727,-0.381,-1.65714821,3.46,3.77,4.66,4.16,4.5,4.82,4.51,4
Washington Heights Expeditionary Learning School - [HS] 06M348,181 St and St Nicholas Av,-0.32,-1.1,0.06612248896,-0.381,-1.986370245,3.52,4.57,3.76,3.88,3.96,3.91,3.98,4
The College Academy - [HS] 06M462,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,4.08,3.7,4.01,3.6,4.52,4.13,3.84,4
High School for Media and Communications - [HS] 06M463,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,3.24,2.9,3.66,3.32,3.55,4.1,3.97,4
High School for Health Careers and Sciences - [HS] 06M468,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,3.06,3.56,3.46,3.58,3.92,4.35,3.8,4
Gregorio Luperon High School for Science and Mathematics - [HS] 06M552,168 St,0.52,0.3220887717,-0.1598303488,-0.3425000336,-0.4257603772,3.89,3.72,3.62,4.08,4.03,4.32,4.1,4
