School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust,Cluster
47 The American Sign Language and English Secondary School - [HS] 02M047,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.921579258,4.26,3.88,4.02,3.69,2.74,4.33,3.33,2
The Urban Assembly School for Emergency Management - [HS] 02M135,Brooklyn Bridge-City Hall,0.52,1.818626913,-0.2047747479,4.098730602,1.921579258,3.31,3.72,3.06,3.28,2.82,3.21,2.98,2
Urban Assembly Maker Academy - [HS] 02M282,Brooklyn Bridge-City Hall,0.52,1.818626913,-0.2047747479,4.098730602,1.626112938,3.78,3.14,3.49,3.53,3.38,3.22,3.63,2
Pace High School - [HS] 02M298,Grand St,2.21,1.622183874,-0.4036117532,3.021934157,1.921579258,3.21,3.8,3.74,3.57,3.49,3.72,3.57,2
Lower Manhattan Arts Academy - [HS] 02M308,Spring St and Lafayette,-0.32,1.496967609,-0.6265434322,1.781290488,1.626112938,3.18,3.52,3.22,3.39,3.53,2.79,2.91,2
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,1.921579258,2.97,3.09,3.8,3.7,4.08,4.5,4.93,2
Business Of Sports School - [HS] 02M393,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.389874821,3.23,3.5,3.64,3.13,3.63,3.22,3.63,2
Professional Performing Arts High School - [HS] 02M408,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,4.065938965,4.17,3.47,3.6,3.63,3.55,3.24,3.01,2
Baruch College Campus High School - [HS] 02M411,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,3.273514777,4.83,3.6,3.98,4.14,3.38,3.05,3.57,2
School of the Future High School - [HS] 02M413,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.795267527,4.71,4.28,3.39,3.8,3.35,3.29,2.88,2
N.Y.C. Museum School - [HS] 02M414,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,2.492849484,4.4,3.82,3.3,3.94,3.56,3.2,3.66,2
Millennium High School - [HS] 02M418,Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,2.492849484,4.62,3.0,3.4,4.04,3.31,2.66,3.58,2
Landmark High School - [HS] 02M419,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.949675305,3.32,3.27,3.49,3.13,3.94,4.11,3.48,2
Quest to Learn - [HS] 02M422,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.1203359,2.94,3.01,3.25,3.42,3.08,3.09,3.15,2
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,-0.32,1.232384401,-0.6685599181,0.8046835199,1.609486633,3.65,3.88,4.35,3.84,3.82,3.41,3.79,2
Chelsea Career and Technical Education High School - [HS] 02M615,Spring St and 6th Av,-0.32,1.223379546,-0.6685599181,0.6805606009,2.763448633,3.76,3.15,3.03,3.26,2.9,3.36,3.55,2
West End Secondary School - [HS] 03M291,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.55,4.72,3.2,3.91,2.26,3.84,3.11,2
Frank McCourt High School - [HS] 03M417,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.646353658,3.96,3.56,4.09,3.37,3.51,3.26,3.33,2
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.66,4.32,3.0,4.21,3.76,3.08,3.39,2
