School,Station,PC1,PC2,Cluster
Frederick Douglass Academy - [HS] 05M499,Harlem-148 St,-1.518818911,6.473924,2
Chelsea Career and Technical Education High School - [HS] 02M615,Spring St and 6th Av,-0.302100646,8.466883,2
Beacon High School - [HS] 03M479,42 St-Port Authority Bus Terminal,0.565704475,8.13269,2
Professional Performing Arts High School - [HS] 02M408,50 St and 8th Av,-0.110281355,9.100701,2
Mott Hall High School - [HS] 05M304,135 St and St. Nicholas Av,-0.972547411,8.368601,2
Eagle Academy for Young Men of Harlem - [HS] 05M148,135 St and St. Nicholas Av,-0.920774555,8.556538,2
Art and Design High School - [HS] 02M630,Lexington Av/53 St,-0.746789875,8.612645,2
Urban Assembly School for the Performing Arts - [HS] 05M369,125 St and Broadway,-0.411217689,6.794343,2
"Urban Assembly School of Design and Construction, The - [HS] 02M300",50 St and 8th Av,-0.152870625,8.814058,2
The Urban Assembly School for Green Careers - [HS] 03M402,86 St and Broadway,-0.824978123,7.945109,2
Democracy Preparatory Harlem Charter School - [HS] 84M481,135 St and Lenox Av,-0.343912281,8.167139,2
"High School for Law, Advocacy and Community Justice - [HS] 03M492",66 St-Lincoln Center,-0.476528492,7.658066,2
High School of Arts and Technology - [HS] 03M494,66 St-Lincoln Center,-0.484704868,6.413108,2
Food and Finance High School - [HS] 02M288,50 St and 8th Av,-0.046750337,7.159642,2
Frank McCourt High School - [HS] 03M417,86 St and Broadway,-0.941387293,9.256039,2
The High School for Climate Justice - [HS] 02M655,96 St and 2nd Av,-0.840230533,8.597907,2
A. Philip Randolph Campus High School - [HS] 06M540,135 St and St. Nicholas Av,-0.905140306,7.497668,2
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.849150604,9.234359,2
New Design High School - [HS] 02M543,Delancey St-Essex St,-1.031343394,9.331058,2
Millennium High School - [HS] 02M418,Broad St,0.14457295,9.080004,2
High School for Media and Communications - [HS] 06M463,191 St,-1.036346466,8.851961,2
The Maxine Greene HS for Imaginative Inquiry - [HS] 03M299,66 St-Lincoln Center,-0.554554139,8.038618,2
High School of Hospitality Management - [HS] 02M296,50 St and 8th Av,-0.045356929,7.276683,2
City College Academy of the Arts - [HS] 06M293,Dyckman St and Nagle Av,-1.066245875,8.612202,2
High School for Health Careers and Sciences - [HS] 06M468,191 St,-1.048832388,9.287767,2
Talent Unlimited High School - [HS] 02M519,72 St and 2nd Av,-0.74120756,9.092005,2
Inwood Early College for Health and Information Technologies - [HS] 06M211,Dyckman St and Broadway,-1.24028366,8.19879,2
Wadleigh Secondary School for the Performing & Visual Arts - [HS] 03M415,116 St and Frederick Douglass Blvd,-0.829989983,7.598999,2
High School for Law and Public Service - [HS] 06M46,191 St,-1.002706697,7.849149,2
Thurgood Marshall Academy for Learning and Social Change - [HS] 05M670,135 St and Lenox Av,-0.334072594,8.813364,2
"Heritage School, The - [HS] 04M680",103 St and Lexington,-1.064041184,8.149781,2
Vanguard High School - [HS] 02M449,72 St and 2nd Av,-0.773534913,9.137505,2
Esperanza Preparatory Academy - [HS] 04M372,110 St,-1.058796291,8.541499,2
Business Of Sports School - [HS] 02M393,50 St and 8th Av,-0.122184475,8.972695,2
Frederick Douglass Academy II Secondary School - [HS] 03M860,116 St and Frederick Douglass Blvd,-0.853467118,8.118428,2
Lower Manhattan Arts Academy - [HS] 02M308,Spring St and Lafayette,0.459102008,8.583875,2
Jacqueline Kennedy Onassis High School - [HS] 02M529,47-50 Sts-Rockefeller Ctr,0.04867464,8.578335,2
