Node,Betweenness Centrality
Van Cortlandt Park-242 St,1.0
238 St,1.097065740721284
231 St,1.193643713901255
Marble Hill-225 St,1.289733919539913
215 St,1.385336357637259
207 St,1.480451028193291
Dyckman St and Nagle Av,1.57507793120801
191 St,1.669217066681416
181 St and St Nicholas Av,1.762868434613509
168 St-Washington Hts,1.856032035004289
157 St,1.948707867853757
145 St and Broadway,2.040895933161911
137 St-City College,2.132596230928752
125 St and Broadway,2.22380876115428
116 St-Columbia University,2.314533523838495
Cathedral Pkwy (110 St) and Broadway,2.404770518981398
103 St and Broadway,2.494519746582987
96 St and Broadway,2.943148007435116
86 St and Broadway,1.006056446971303
79 St and Broadway,1.039037662223083
72 St and Broadway,2.909825354904416
66 St-Lincoln Center,1.149988518953743
59 St-Columbus Circle,3.365978010756943
50 St and Broadway,2.184748452581066
Times Sq-42 St,5.983391188588249
34 St-Penn Station,2.52102410569691
28 St and 7th Av,1.072027006933884
23 St and 7th Av,1.000243883770656
18 St,1.024794850016743
14 St and 6 Av,2.23421301701318
Christopher St-Sheridan Sq,1.100610184854825
Houston St,1.023890447700559
Canal St and Varick St,1.019858236025705
Franklin St,1.092545761505117
Chambers St and West Broadway,2.204172343224746
WTC Cortlandt,1.848664132090062
Rector St,3.155836430784247
South Ferry,2.935949371471239
Wakefield-241 St,1.0
Nereid Av,1.097065740721284
233 St,1.193643713901255
225 St,1.289733919539913
219 St,1.385336357637259
Gun Hill Rd and White Plains Rd,1.480451028193291
Burke Av,1.57507793120801
Allerton Av,1.669217066681416
Pelham Pkwy and White Plains Rd,1.762868434613509
Bronx Park East,1.856032035004289
E 180 St,2.416964707514222
West Farms Sq-E Tremont Av,2.494519746582987
174 St,2.583781206643263
Freeman St,2.672554899162227
Simpson St,2.760840824139877
Intervale Av,2.848638981576215
Prospect Av and Westchester Av,2.935949371471239
Jackson Av,3.02277199382495
3 Av-149 St,3.109106848637349
149 St-Grand Concourse,4.772514945048673
135 St and Lenox Av,1.552912961184846
125 St and Malcom X Blvd,1.410200308055688
116 St and Malcom X Blvd,1.462188198500631
Central Park North (110 St),1.519582179195125
Park Place,1.307326359201091
Fulton St,1.879945129054981
Wall St and William St,1.076972621397411
Clark St,1.01169306545169
Borough Hall,1.06647226371936
Hoyt St,1.0
Nevins St,1.243314708524962
Atlantic Av-Barclays Ctr,7.519173746463725
Bergen St and Flatbush Av,1.09316360039078
Grand Army Plaza,1.000243883770656
Eastern Pkwy-Brooklyn Museum,1.003658256559847
Franklin Av-Medgar Evers College,2.352985865012004
President St-Medgar Evers College,1.233112237452497
Sterling St,1.14604573132813
Winthrop St,1.061336768320108
Church Av and Nostrand Av,1.020689473210692
Beverly Rd,1.30180616618741
Newkirk Av-Little Haiti,1.097065740721284
Flatbush Av-Brooklyn College,1.0
Harlem-148 St,1.0
Lenox Av and W 145 St,1.097065740721284
Nostrand Av and Eastern Pkwy,1.047557335278016
Kingston Av,1.000975535082626
Crown Hts-Utica Av,1.716774401959432
Sutter Av-Rutland Rd,1.57507793120801
Saratoga Av,1.480451028193291
Rockaway Av and Livonia Av,1.385336357637259
Junius St,1.289733919539913
Pennsylvania Av,1.193643713901255
Van Siclen Av and Livonia Av,1.097065740721284
New Lots Av and Warwick St,1.0
Woodlawn,1.0
Mosholu Pkwy,1.097065740721284
Bedford Park Blvd-Lehman College,1.193643713901255
Kingsbridge Rd and Jerome Av,1.289733919539913
Fordham Rd and Jerome Av,1.385336357637259
183 St,1.480451028193291
Burnside Av,1.57507793120801
176 St,1.669217066681416
Mt Eden Av,1.762868434613509
170 St and Jerome Av,1.856032035004289
167 St and River Av,1.948707867853757
161 St-Yankee Stadium,3.426857787344893
138 St-Grand Concourse,3.965137722290347
125 St and Lexington Av,5.442118741709269
86 St and Lexington Av,5.303858709421525
59 St and Lexington Av,5.411126921215274
Grand Central-42 St,6.87368976438323
14 St-Union Sq,9.0
Brooklyn Bridge-City Hall,1.481576958267822
Wall St and Broadway,1.076972621397411
Bowling Green,1.01169306545169
Eastchester-Dyre Av,1.0
Baychester Av,1.097065740721284
Gun Hill Rd and Sexton Pl,1.193643713901255
Pelham Pkwy and Laconia Av,1.289733919539913
Morris Park,1.385336357637259
Pelham Bay Park,1.0
Buhre Av,1.097065740721284
Middletown Rd,1.193643713901255
Westchester Sq-E Tremont Av,1.289733919539913
Zerega Av,1.385336357637259
Castle Hill Av,1.480451028193291
Parkchester,1.57507793120801
St Lawrence Av,1.669217066681416
Morrison Av-Soundview,1.762868434613509
Elder Av,1.856032035004289
Whitlock Av,1.948707867853757
Hunts Point Av,2.040895933161911
Longwood Av,2.132596230928752
E 149 St,2.22380876115428
E 143 St-St Mary's St,2.314533523838495
Cypress Av,2.404770518981398
Brook Av,2.494519746582987
3 Av-138 St,2.583781206643263
116 St and Lexington Av,1.070420858101418
110 St,1.010771533203995
103 St and Lexington,1.036928648282548
96 St and Lexington Av,1.122735088258524
77 St and Lexington Av,1.010080529187135
68 St-Hunter College,1.037720689861538
51 St,1.0
33 St,1.038306010911113
28 St and Park Av S,1.000243883770656
23 St and Park Av S,1.058515846039515
Astor Pl,1.05318698565067
Bleecker St,1.000243883770656
