Node,closeness Centrality
Van Cortlandt Park-242 St,1.527315051128656
238 St,1.669398983450222
231 St,1.822037647627171
Marble Hill-225 St,1.986445968866897
215 St,2.164032697547684
207 St,2.356440666541315
Dyckman St and Nagle Av,2.565597517071091
191 St,2.793780212937398
181 St and St Nicholas Av,3.043697923240081
168 St-Washington Hts,3.318599679085954
157 St,3.622415896448425
145 St and Broadway,3.959946881913701
137 St-City College,4.33711758411798
125 St and Broadway,4.761327441141853
116 St-Columbia University,5.24193948608233
Cathedral Pkwy (110 St) and Broadway,5.790977977086615
103 St and Broadway,6.42414620444751
96 St and Broadway,7.162350110332003
86 St and Broadway,6.368782925425029
79 St and Broadway,6.90879778154568
72 St and Broadway,7.811216370379112
66 St-Lincoln Center,7.164540821658954
59 St-Columbus Circle,7.411964509864927
50 St and Broadway,7.79620690193873
Times Sq-42 St,8.476636137902755
34 St-Penn Station,7.846414897124696
28 St and 7th Av,6.939996674755375
23 St and 7th Av,6.357795754417651
18 St,6.554247480870873
14 St and 6 Av,7.38204219891599
Christopher St-Sheridan Sq,6.556161970145252
Houston St,5.861728645085146
Canal St and Varick St,5.8181651984672
Franklin St,6.504763947230601
Chambers St and West Broadway,7.320489143255473
WTC Cortlandt,7.051971181089614
Rector St,7.186504635692211
South Ferry,6.463329607245031
Wakefield-241 St,1.19019409338834
Nereid Av,1.307139629054116
233 St,1.4318659904242
225 St,1.565171154463509
219 St,1.707966015824939
Gun Hill Rd and White Plains Rd,1.861295091426842
Burke Av,2.026361954106677
Allerton Av,2.204560705402686
Pelham Pkwy and White Plains Rd,2.397515229361477
Bronx Park East,2.607128568145923
E 180 St,2.835645601131339
West Farms Sq-E Tremont Av,3.078795954041492
174 St,3.345243755889651
Freeman St,3.638492061324199
Simpson St,3.962783106631956
Intervale Av,4.323304133685955
Prospect Av and Westchester Av,4.726466043305415
Jackson Av,5.180286827434437
3 Av-149 St,5.694928818602974
149 St-Grand Concourse,6.283466904125854
135 St and Lenox Av,5.805348118096655
125 St and Malcom X Blvd,5.840694496366717
116 St and Malcom X Blvd,6.206891693886996
Central Park North (110 St),6.64319231036421
Park Place,7.359151898553202
Fulton St,7.84137134473819
Wall St and William St,6.946262202139991
Clark St,6.48776555907311
Borough Hall,6.672589483322315
Hoyt St,6.635386046012713
Nevins St,7.449050314034604
Atlantic Av-Barclays Ctr,8.439707826364621
Bergen St and Flatbush Av,7.428154302905329
Grand Army Plaza,6.619814929852699
Eastern Pkwy-Brooklyn Museum,6.647100635176999
Franklin Av-Medgar Evers College,7.493464282120557
President St-Medgar Evers College,6.668658534388864
Sterling St,6.025609327271566
Winthrop St,5.477128570450031
Church Av and Nostrand Av,5.002626442519587
Beverly Rd,5.511103034502047
Newkirk Av-Little Haiti,4.965302112542041
Flatbush Av-Brooklyn College,4.48968962929016
Harlem-148 St,4.709761606177226
Lenox Av and W 145 St,5.218527309626462
Nostrand Av and Eastern Pkwy,6.645146039571223
Kingston Av,5.956935043956702
Crown Hts-Utica Av,6.672589483322315
Sutter Av-Rutland Rd,5.973578531948577
Saratoga Av,5.374121205885866
Rockaway Av and Livonia Av,4.854382904196953
Junius St,4.399469718289865
Pennsylvania Av,3.997980243318318
Van Siclen Av and Livonia Av,3.641038563824769
New Lots Av and Warwick St,3.321631680092203
Woodlawn,2.176824679038789
Mosholu Pkwy,2.374546749777382
Bedford Park Blvd-Lehman College,2.589973162194446
Kingsbridge Rd and Jerome Av,2.825583840842682
Fordham Rd and Jerome Av,3.084344448858106
183 St,3.369831435570298
Burnside Av,3.68639781145863
176 St,4.039396014178583
Mt Eden Av,4.435482200915322
170 St and Jerome Av,4.883038925848863
167 St and River Av,5.392773662623921
161 St-Yankee Stadium,5.978584879494329
138 St-Grand Concourse,6.584980471177686
125 St and Lexington Av,6.998812019667173
86 St and Lexington Av,7.491116482211763
59 St and Lexington Av,8.04978243969175
Grand Central-42 St,8.724573366349919
14 St-Union Sq,9.0
Brooklyn Bridge-City Hall,8.4142917785287
Wall St and Broadway,6.946262202139991
Bowling Green,6.48776555907311
Eastchester-Dyre Av,1.840963362387593
Baychester Av,2.008722432893637
Gun Hill Rd and Sexton Pl,2.190170439455718
Pelham Pkwy and Laconia Av,2.387046296581653
Morris Park,2.601396376268527
Pelham Bay Park,1.381995365091511
Buhre Av,1.51293229683289
Middletown Rd,1.653156595070188
Westchester Sq-E Tremont Av,1.803686751420043
Zerega Av,1.965695760510741
Castle Hill Av,2.140541571043493
Parkchester,2.329805034305389
St Lawrence Av,2.535337595923829
Morrison Av-Soundview,2.759321779826809
Elder Av,3.004348654819585
Whitlock Av,3.27351811997662
Hunts Point Av,3.570570255563008
Longwood Av,3.900059577752365
E 149 St,4.26758948796205
E 143 St-St Mary's St,4.680132658077946
Cypress Av,5.146476491786277
Brook Av,5.677854593504915
3 Av-138 St,6.288861637403838
116 St and Lexington Av,6.235222184138908
110 St,5.589038941858697
103 St and Lexington,5.938705605324818
96 St and Lexington Av,6.647100635176999
77 St and Lexington Av,6.64319231036421
68 St-Hunter College,7.105750346727386
51 St,7.848938579422402
33 St,7.660694964375619
28 St and Park Av S,7.206360627911854
23 St and Park Av S,7.884404132420271
Astor Pl,7.884404132420271
Bleecker St,7.338644225581118
Spring St and Lafayette,7.773777148650476
Canal St,8.863628322344915
Flushing-Main St,1.792599011207878
Mets-Willets Point,1.956254329581438
111 St and Roosevelt Av,2.13307809875518
103 St-Corona Plaza,2.324718694103309
Junction Blvd,2.533111496461546
90 St-Elmhurst Av,2.76054419815844
82 St-Jackson Hts,3.00974079112001
74 St-Broadway,3.283970784312696
69 St,3.587192958322638
61 St-Woodside,3.924247107672047
52 St,4.301113560895167
46 St-Bliss St,4.7252701795659
40 St-Lowery St,5.206192405699747
33 St-Rawson St,5.75606801523085
Queensboro Plaza,6.390842420971813
Court Sq,6.674556269271112
Hunters Point Av,7.239641889519951
Vernon Blvd-Jackson Av,7.920121660927895
5 Av,8.172048676045378
34 St-Hudson Yards,7.451377710709299
Inwood-207 St,3.544993917198651
Dyckman St and Broadway,3.891731642160589
190 St,4.281166662718002
181 St and Fort Washington Av,4.721685075412326
175 St,5.224022740977969
168 St,5.802150271961702
145 St and St Nicholas Av,6.470833657440355
125 St and St Nicholas Av,6.917096573066724
42 St-Port Authority Bus Terminal,7.257488683321744
14 St and 8 Av,7.609921162790799
W 4 St-Wash Sq,7.932939498584657
Canal St and 6th Ave,7.230743807220191
Chambers St and Church St,7.147043875146986
High St,7.418896300064354
Jay St-MetroTech,7.77626435657722
Hoyt-Schermerhorn Sts,7.136141553572423
Nostrand Av and Fulton St,6.516133336601121
Utica Av,5.970244383054236
Broadway Junction,5.490387071397118
Euclid Av,5.000039819156804
Grant Av,4.562985436124696
80 St,4.174126192434001
88 St,3.825921864040294
Rockaway Blvd,3.512327017743526
