Node,eigenvector Centrality
Van Cortlandt Park-242 St,1.000000000028709
238 St,1.000000000118721
231 St,1.00000000046183
Marble Hill-225 St,1.000000001789434
215 St,1.000000006932103
207 St,1.000000026856299
Dyckman St and Nagle Av,1.000000104055799
191 St,1.000000403202332
181 St and St Nicholas Av,1.000001562475468
168 St-Washington Hts,1.000006055272461
157 St,1.000023468298893
145 St and Broadway,1.000090960818591
137 St-City College,1.000352573420588
125 St and Broadway,1.001366674505725
116 St-Columbia University,1.005297841858524
Cathedral Pkwy (110 St) and Broadway,1.020537591142662
103 St and Broadway,1.07961869280652
96 St and Broadway,1.30866982031684
86 St and Broadway,1.139985495453608
79 St and Broadway,1.270146327453548
72 St and Broadway,1.97705074963769
66 St-Lincoln Center,1.440840301909793
59 St-Columbus Circle,1.845707627892694
50 St and Broadway,1.934993842625279
Times Sq-42 St,4.020480967953025
34 St-Penn Station,2.461200337000952
28 St and 7th Av,1.38506175596509
23 St and 7th Av,1.130999915712666
18 St,1.156600867587936
14 St and 6 Av,1.516530090371046
Christopher St-Sheridan Sq,1.134809543275455
Houston St,1.040899563962776
Canal St and Varick St,1.034307348571979
Franklin St,1.100970613396679
Chambers St and West Broadway,1.383254325805628
WTC Cortlandt,1.192303617079966
Rector St,1.412067946326651
South Ferry,1.106253553721718
Wakefield-241 St,1.000000000000026
Nereid Av,1.000000000000243
233 St,1.00000000000107
225 St,1.00000000000427
219 St,1.00000000001666
Gun Hill Rd and White Plains Rd,1.00000000006465
Burke Av,1.000000000250559
Allerton Av,1.000000000970819
Pelham Pkwy and White Plains Rd,1.00000000376155
Bronx Park East,1.00000001457546
E 180 St,1.000000056481871
West Farms Sq-E Tremont Av,1.000000204314547
174 St,1.000000788097816
Freeman St,1.000003053628393
Simpson St,1.00001183596076
Intervale Av,1.000045879602647
Prospect Av and Westchester Av,1.000177850310143
Jackson Av,1.000689455384306
3 Av-149 St,1.002672838077711
149 St-Grand Concourse,1.01036221592314
135 St and Lenox Av,1.004228739479868
125 St and Malcom X Blvd,1.006035908667721
116 St and Malcom X Blvd,1.020727194713694
Central Park North (110 St),1.079664552399384
Park Place,1.775155602005233
Fulton St,3.822690060536487
Wall St and William St,1.777640688032503
Clark St,1.393580389644047
Borough Hall,1.850208665906748
Hoyt St,1.696945649997591
Nevins St,3.032392011294113
Atlantic Av-Barclays Ctr,7.858876327097018
Bergen St and Flatbush Av,2.804642240940284
Grand Army Plaza,1.605167930084408
Eastern Pkwy-Brooklyn Museum,1.698361808077141
Franklin Av-Medgar Evers College,3.283294664990819
President St-Medgar Evers College,1.589015020188068
