Node,Betweenness Centrality,standardized betweeness
Van Cortlandt Park-242 St,0,-0.6685599181
238 St,0.005013,-0.5750718382
231 St,0.01,-0.4820686357
Marble Hill-225 St,0.014962,-0.3895316613
215 St,0.019899,-0.2974609152
207 St,0.024811,-0.2058563973
Dyckman St and Nagle Av,0.029697,-0.1147367567
191 St,0.034559,-0.02406469521
181 St and St Nicholas Av,0.039395,0.06612248896
168 St-Washington Hts,0.044206,0.1558434449
157 St,0.048992,0.2450981727
145 St and Broadway,0.053752,0.3338680231
137 St-City College,0.058488,0.4221902945
125 St and Broadway,0.063198,0.5100276885
116 St-Columbia University,0.067883,0.5973988543
Cathedral Pkwy (110 St) and Broadway,0.072543,0.6843037919
103 St and Broadway,0.077178,0.7707425013
96 St and Broadway,0.100345,1.202786855
86 St and Broadway,0.000313,-0.6627227409
79 St and Broadway,0.002016,-0.6309632756
72 St and Broadway,0.098624,1.170691706
66 St-Lincoln Center,0.007745,-0.5241224199
59 St-Columbus Circle,0.12218,1.60999057
50 St and Broadway,0.061181,0.4724123968
Times Sq-42 St,0.257345,4.130699989
34 St-Penn Station,0.078547,0.7962731578
28 St and 7th Av,0.00372,-0.599185161
23 St and 7th Av,1.30E-05,-6.68E-01
18 St,0.00128,-0.6446890339
14 St and 6 Av,0.063735,0.5200422703
Christopher St-Sheridan Sq,0.005196,-0.5716590477
Houston St,0.001234,-0.6455468938
Canal St and Varick St,0.001025,-0.6494445616
Franklin St,0.004779,-0.5794357342
Chambers St and West Broadway,0.062184,0.4911174724
WTC Cortlandt,0.043826,0.1487567762
Rector St,0.111329,1.40762888
South Ferry,0.099974,1.195868029
Wakefield-241 St,0,-0.6685599181
Nereid Av,0.005013,-0.5750718382
233 St,0.01,-0.4820686357
225 St,0.014962,-0.3895316613
219 St,0.019899,-0.2974609152
Gun Hill Rd and White Plains Rd,0.024811,-0.2058563973
Burke Av,0.029697,-0.1147367567
Allerton Av,0.034559,-0.02406469521
Pelham Pkwy and White Plains Rd,0.039395,0.06612248896
Bronx Park East,0.044206,0.1558434449
E 180 St,0.073173,0.6960527427
West Farms Sq-E Tremont Av,0.077178,0.7707425013
174 St,0.081787,0.8566963333
Freeman St,0.086372,0.9422025863
Simpson St,0.090931,1.027223962
Intervale Av,0.095465,1.111779109
Prospect Av and Westchester Av,0.099974,1.195868029
Jackson Av,0.104457,1.279472071
3 Av-149 St,0.108916,1.362628533
149 St-Grand Concourse,0.194815,2.96457
135 St and Lenox Av,0.028553,-0.1360713594
125 St and Malcom X Blvd,0.021183,-0.2735154346
116 St and Malcom X Blvd,0.023868,-0.2234425252
Central Park North (110 St),0.026832,-0.1681665091
Park Place,0.015871,-0.3725796038
Fulton St,0.045441,0.1788751183
Wall St and William St,0.003975,-0.5944296333
Clark St,0.000604,-0.6572958446
Borough Hall,0.003433,-0.6045374608
Hoyt St,0,-0.6685599181
Nevins St,0.012565,-0.4342336217
Atlantic Av-Barclays Ctr,0.336654,5.609743701
Bergen St and Flatbush Av,0.004811,-0.5788389621
Grand Army Plaza,1.30E-05,-6.68E-01
Eastern Pkwy-Brooklyn Museum,0.000189,-0.6650352328
Franklin Av-Medgar Evers College,0.069869,0.634436023
President St-Medgar Evers College,0.012038,-0.4440617123
Sterling St,0.007542,-0.5279081929
Winthrop St,0.003167,-0.6094981289
Church Av and Nostrand Av,0.001068,-0.6486426491
Beverly Rd,0.015585,-0.3779132545
Newkirk Av-Little Haiti,0.005013,-0.5750718382
Flatbush Av-Brooklyn College,0,-0.6685599181
Harlem-148 St,0,-0.6685599181
Lenox Av and W 145 St,0.005013,-0.5750718382
Nostrand Av and Eastern Pkwy,0.002456,-0.6227576591
Kingston Av,5.00E-05,-6.68E-01
Crown Hts-Utica Av,0.037015,0.02173756375
Sutter Av-Rutland Rd,0.029697,-0.1147367567
Saratoga Av,0.024811,-0.2058563973
Rockaway Av and Livonia Av,0.019899,-0.2974609152
Junius St,0.014962,-0.3895316613
Pennsylvania Av,0.01,-0.4820686357
Van Siclen Av and Livonia Av,0.005013,-0.5750718382
New Lots Av and Warwick St,0,-0.6685599181
Woodlawn,0,-0.6685599181
Mosholu Pkwy,0.005013,-0.5750718382
Bedford Park Blvd-Lehman College,0.01,-0.4820686357
Kingsbridge Rd and Jerome Av,0.014962,-0.3895316613
Fordham Rd and Jerome Av,0.019899,-0.2974609152
183 St,0.024811,-0.2058563973
Burnside Av,0.029697,-0.1147367567
176 St,0.034559,-0.02406469521
Mt Eden Av,0.039395,0.06612248896
170 St and Jerome Av,0.044206,0.1558434449
167 St and River Av,0.048992,0.2450981727
161 St-Yankee Stadium,0.125324,1.66862343
138 St-Grand Concourse,0.153121,2.187013247
125 St and Lexington Av,0.229394,3.609438206
86 St and Lexington Av,0.222254,3.47628343
59 St and Lexington Av,0.227793,3.579580951
Grand Central-42 St,0.303321,4.988112309
14 St-Union Sq,0.413125,7.035861186
Brooklyn Bridge-City Hall,0.024869,-0.2047747479
Wall St and Broadway,0.003975,-0.5944296333
Bowling Green,0.000604,-0.6572958446
Eastchester-Dyre Av,0,-0.6685599181
Baychester Av,0.005013,-0.5750718382
Gun Hill Rd and Sexton Pl,0.01,-0.4820686357
Pelham Pkwy and Laconia Av,0.014962,-0.3895316613
Morris Park,0.019899,-0.2974609152
Pelham Bay Park,0,-0.6685599181
Buhre Av,0.005013,-0.5750718382
Middletown Rd,0.01,-0.4820686357
Westchester Sq-E Tremont Av,0.014962,-0.3895316613
Zerega Av,0.019899,-0.2974609152
Castle Hill Av,0.024811,-0.2058563973
Parkchester,0.029697,-0.1147367567
St Lawrence Av,0.034559,-0.02406469521
Morrison Av-Soundview,0.039395,0.06612248896
Elder Av,0.044206,0.1558434449
Whitlock Av,0.048992,0.2450981727
Hunts Point Av,0.053752,0.3338680231
Longwood Av,0.058488,0.4221902945
E 149 St,0.063198,0.5100276885
E 143 St-St Mary's St,0.067883,0.5973988543
Cypress Av,0.072543,0.6843037919
Brook Av,0.077178,0.7707425013
3 Av-138 St,0.081787,0.8566963333
116 St and Lexington Av,0.003637,-0.6007330387
110 St,0.000556,-0.6581910028
103 St and Lexington,0.001907,-0.6329960305
96 St and Lexington Av,0.006338,-0.5503617433
77 St and Lexington Av,0.000521,-0.6588437223
68 St-Hunter College,0.001948,-0.6322314163
51 St,0,-0.6685599181
33 St,0.001978,-0.6316719424
28 St and Park Av S,1.30E-05,-6.68E-01
23 St and Park Av S,0.003022,-0.6122022525
Astor Pl,0.002747,-0.6173307628
Bleecker St,1.30E-05,-6.68E-01
Spring St and Lafayette,0.002253,-0.6265434322
Canal St,0.40138,6.816827175
Flushing-Main St,0,-0.6685599181
Mets-Willets Point,0.005013,-0.5750718382
111 St and Roosevelt Av,0.01,-0.4820686357
103 St-Corona Plaza,0.014962,-0.3895316613
Junction Blvd,0.019899,-0.2974609152
90 St-Elmhurst Av,0.024811,-0.2058563973
82 St-Jackson Hts,0.029697,-0.1147367567
74 St-Broadway,0.034559,-0.02406469521
69 St,0.039395,0.06612248896
61 St-Woodside,0.044206,0.1558434449
52 St,0.048992,0.2450981727
46 St-Bliss St,0.053752,0.3338680231
40 St-Lowery St,0.058488,0.4221902945
33 St-Rawson St,0.063198,0.5100276885
Queensboro Plaza,0.108314,1.351401758
Court Sq,0.09279,1.061892691
Hunters Point Av,0.087647,0.9659802248
Vernon Blvd-Jackson Av,0.091211,1.032445718
5 Av,0.028017,-0.1460672922
34 St-Hudson Yards,0,-0.6685599181
Inwood-207 St,0,-0.6685599181
Dyckman St and Broadway,0.005013,-0.5750718382
190 St,0.01,-0.4820686357
181 St and Fort Washington Av,0.014962,-0.3895316613
175 St,0.019899,-0.2974609152
168 St,0.027279,-0.1598303488
