Node,degree Centrality,standardized degree
Van Cortlandt Park-242 St,2.30E-03,-1.17E+00
238 St,4.60E-03,-3.24E-01
231 St,4.60E-03,-3.24E-01
Marble Hill-225 St,4.60E-03,-3.24E-01
215 St,4.60E-03,-3.24E-01
207 St,4.60E-03,-3.24E-01
Dyckman St and Nagle Av,4.60E-03,-3.24E-01
191 St,4.60E-03,-3.24E-01
181 St and St Nicholas Av,4.60E-03,-3.24E-01
168 St-Washington Hts,4.60E-03,-3.24E-01
157 St,4.60E-03,-3.24E-01
145 St and Broadway,4.60E-03,-3.24E-01
137 St-City College,4.60E-03,-3.24E-01
125 St and Broadway,4.60E-03,-3.24E-01
116 St-Columbia University,0.004597701149,-0.32433827
Cathedral Pkwy (110 St) and Broadway,0.004597701149,-0.32433827
103 St and Broadway,0.004597701149,-0.32433827
96 St and Broadway,0.009195402299,1.365803835
86 St and Broadway,0.004597701149,-0.32433827
79 St and Broadway,0.004597701149,-0.32433827
72 St and Broadway,0.009195402299,1.365803835
66 St-Lincoln Center,0.004597701149,-0.32433827
59 St-Columbus Circle,0.01609195402,3.901016993
50 St and Broadway,0.004597701149,-0.32433827
Times Sq-42 St,0.02068965517,5.591159099
34 St-Penn Station,0.01379310345,3.055945941
28 St and 7th Av,0.004597701149,-0.32433827
23 St and 7th Av,4.60E-03,-3.24E-01
18 St,0.004597701149,-0.32433827
14 St and 6 Av,0.01379310345,3.055945941
Christopher St-Sheridan Sq,0.004597701149,-0.32433827
Houston St,0.004597701149,-0.32433827
Canal St and Varick St,0.004597701149,-0.32433827
Franklin St,0.004597701149,-0.32433827
Chambers St and West Broadway,0.009195402299,1.365803835
WTC Cortlandt,0.004597701149,-0.32433827
Rector St,0.009195402299,1.365803835
South Ferry,0.004597701149,-0.32433827
Wakefield-241 St,2.30E-03,-1.17E+00
Nereid Av,4.60E-03,-3.24E-01
233 St,4.60E-03,-3.24E-01
225 St,4.60E-03,-3.24E-01
219 St,4.60E-03,-3.24E-01
Gun Hill Rd and White Plains Rd,4.60E-03,-3.24E-01
Burke Av,4.60E-03,-3.24E-01
Allerton Av,4.60E-03,-3.24E-01
Pelham Pkwy and White Plains Rd,4.60E-03,-3.24E-01
Bronx Park East,4.60E-03,-3.24E-01
E 180 St,6.90E-03,5.21E-01
West Farms Sq-E Tremont Av,4.60E-03,-3.24E-01
174 St,4.60E-03,-3.24E-01
Freeman St,4.60E-03,-3.24E-01
Simpson St,4.60E-03,-3.24E-01
Intervale Av,4.60E-03,-3.24E-01
Prospect Av and Westchester Av,4.60E-03,-3.24E-01
Jackson Av,4.60E-03,-3.24E-01
3 Av-149 St,0.004597701149,-0.32433827
149 St-Grand Concourse,0.009195402299,1.365803835
135 St and Lenox Av,0.006896551724,0.5207327827
125 St and Malcom X Blvd,0.004597701149,-0.32433827
116 St and Malcom X Blvd,0.004597701149,-0.32433827
Central Park North (110 St),0.004597701149,-0.32433827
Park Place,0.004597701149,-0.32433827
Fulton St,0.0183908046,4.746088046
Wall St and William St,0.004597701149,-0.32433827
Clark St,0.004597701149,-0.32433827
Borough Hall,0.009195402299,1.365803835
Hoyt St,0.004597701149,-0.32433827
Nevins St,0.006896551724,0.5207327827
Atlantic Av-Barclays Ctr,0.02068965517,5.591159099
Bergen St and Flatbush Av,0.004597701149,-0.32433827
Grand Army Plaza,4.60E-03,-3.24E-01
Eastern Pkwy-Brooklyn Museum,0.004597701149,-0.32433827
Franklin Av-Medgar Evers College,0.01149425287,2.210874888
President St-Medgar Evers College,0.004597701149,-0.32433827
Sterling St,0.004597701149,-0.32433827
Winthrop St,0.004597701149,-0.32433827
Church Av and Nostrand Av,0.004597701149,-0.32433827
Beverly Rd,0.009195402299,1.365803835
Newkirk Av-Little Haiti,0.004597701149,-0.32433827
Flatbush Av-Brooklyn College,0.002298850575,-1.169409323
Harlem-148 St,2.30E-03,-1.17E+00
Lenox Av and W 145 St,4.60E-03,-3.24E-01
Nostrand Av and Eastern Pkwy,0.004597701149,-0.32433827
Kingston Av,4.60E-03,-3.24E-01
Crown Hts-Utica Av,0.006896551724,0.5207327827
Sutter Av-Rutland Rd,0.004597701149,-0.32433827
Saratoga Av,0.004597701149,-0.32433827
Rockaway Av and Livonia Av,0.004597701149,-0.32433827
Junius St,0.004597701149,-0.32433827
Pennsylvania Av,4.60E-03,-3.24E-01
Van Siclen Av and Livonia Av,4.60E-03,-3.24E-01
New Lots Av and Warwick St,2.30E-03,-1.17E+00
Woodlawn,2.30E-03,-1.17E+00
Mosholu Pkwy,4.60E-03,-3.24E-01
Bedford Park Blvd-Lehman College,4.60E-03,-3.24E-01
Kingsbridge Rd and Jerome Av,4.60E-03,-3.24E-01
Fordham Rd and Jerome Av,4.60E-03,-3.24E-01
183 St,4.60E-03,-3.24E-01
Burnside Av,4.60E-03,-3.24E-01
176 St,4.60E-03,-3.24E-01
Mt Eden Av,4.60E-03,-3.24E-01
170 St and Jerome Av,4.60E-03,-3.24E-01
167 St and River Av,0.004597701149,-0.32433827
161 St-Yankee Stadium,0.009195402299,1.365803835
138 St-Grand Concourse,0.004597701149,-0.32433827
125 St and Lexington Av,0.009195402299,1.365803835
86 St and Lexington Av,0.009195402299,1.365803835
59 St and Lexington Av,0.009195402299,1.365803835
Grand Central-42 St,0.01379310345,3.055945941
14 St-Union Sq,0.02298850575,6.436230151
Brooklyn Bridge-City Hall,0.006896551724,0.5207327827
Wall St and Broadway,0.004597701149,-0.32433827
Bowling Green,0.004597701149,-0.32433827
Eastchester-Dyre Av,2.30E-03,-1.17E+00
Baychester Av,4.60E-03,-3.24E-01
Gun Hill Rd and Sexton Pl,4.60E-03,-3.24E-01
Pelham Pkwy and Laconia Av,4.60E-03,-3.24E-01
Morris Park,4.60E-03,-3.24E-01
Pelham Bay Park,2.30E-03,-1.17E+00
Buhre Av,4.60E-03,-3.24E-01
Middletown Rd,4.60E-03,-3.24E-01
Westchester Sq-E Tremont Av,4.60E-03,-3.24E-01
Zerega Av,4.60E-03,-3.24E-01
Castle Hill Av,4.60E-03,-3.24E-01
Parkchester,4.60E-03,-3.24E-01
St Lawrence Av,4.60E-03,-3.24E-01
Morrison Av-Soundview,4.60E-03,-3.24E-01
Elder Av,4.60E-03,-3.24E-01
Whitlock Av,4.60E-03,-3.24E-01
Hunts Point Av,4.60E-03,-3.24E-01
Longwood Av,4.60E-03,-3.24E-01
E 149 St,4.60E-03,-3.24E-01
E 143 St-St Mary's St,4.60E-03,-3.24E-01
Cypress Av,4.60E-03,-3.24E-01
Brook Av,0.004597701149,-0.32433827
3 Av-138 St,0.004597701149,-0.32433827
116 St and Lexington Av,0.004597701149,-0.32433827
110 St,0.004597701149,-0.32433827
103 St and Lexington,0.004597701149,-0.32433827
96 St and Lexington Av,0.004597701149,-0.32433827
77 St and Lexington Av,0.004597701149,-0.32433827
68 St-Hunter College,0.004597701149,-0.32433827
51 St,0.004597701149,-0.32433827
33 St,0.004597701149,-0.32433827
28 St and Park Av S,4.60E-03,-3.24E-01
23 St and Park Av S,0.004597701149,-0.32433827
Astor Pl,0.004597701149,-0.32433827
Bleecker St,4.60E-03,-3.24E-01
Spring St and Lafayette,0.004597701149,-0.32433827
Canal St,0.02068965517,5.591159099
Flushing-Main St,2.30E-03,-1.17E+00
Mets-Willets Point,4.60E-03,-3.24E-01
111 St and Roosevelt Av,4.60E-03,-3.24E-01
103 St-Corona Plaza,4.60E-03,-3.24E-01
Junction Blvd,4.60E-03,-3.24E-01
90 St-Elmhurst Av,4.60E-03,-3.24E-01
82 St-Jackson Hts,4.60E-03,-3.24E-01
74 St-Broadway,4.60E-03,-3.24E-01
69 St,4.60E-03,-3.24E-01
61 St-Woodside,4.60E-03,-3.24E-01
52 St,4.60E-03,-3.24E-01
46 St-Bliss St,4.60E-03,-3.24E-01
40 St-Lowery St,0.004597701149,-0.32433827
33 St-Rawson St,0.004597701149,-0.32433827
Queensboro Plaza,0.009195402299,1.365803835
Court Sq,0.006896551724,0.5207327827
Hunters Point Av,0.004597701149,-0.32433827
Vernon Blvd-Jackson Av,0.004597701149,-0.32433827
5 Av,0.004597701149,-0.32433827
34 St-Hudson Yards,0.002298850575,-1.169409323
Inwood-207 St,2.30E-03,-1.17E+00
