School,Station,Node Degree,Closeness,Betweenness,Eigenvector,SA,RI,CT,SE,ESL,SF-CT,T
"New Explorations into Science, Technology and Math High School - [HS] 01M539",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.515988178,0.5646238402,0.07031269046,1.105113428,0.9494023602,1.192962066,1.046166726
Bard High School Early College - [HS] 01M696,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.434609831,1.243077053,-1.344978747,0.5602192879,0.2172008594,0.5529006218,0.6434363522
47 The American Sign Language and English Secondary School - [HS] 02M047,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,0.9137884124,0.4560713262,0.6071473736,0.1004648571,-1.536677154,1.386469014,-0.3466091506
The Urban Assembly School for Emergency Management - [HS] 02M135,Brooklyn Bridge-City Hall,0.52,1.818626913,-0.2047747479,4.098730602,-0.6324001738,0.2389662982,-0.9545535228,-0.59768076,-1.400453619,-0.2806677701,-0.9339242793
Stephen T. Mather Building Arts & Craftsmanship High School - [HS] 02M139,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-1.023016238,0.02186127018,0.98130488,0.6113031135,1.715659745,0.4487045728,0.8951428359
The Clinton School - [HS] 02M260,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,1.629917863,0.9174195108,-1.149766135,0.5942751716,-0.4639168158,-1.36728371,-0.9674851438
Urban Assembly Maker Academy - [HS] 02M282,Brooklyn Bridge-City Hall,0.52,1.818626913,-0.2047747479,4.098730602,0.1325562846,-0.5480394284,-0.255041663,-0.171982213,-0.4468888739,-0.2657826203,0.1568038169
Food and Finance High School - [HS] 02M288,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-0.7788811978,-1.009387613,-2.386112678,-1.108519016,-1.519649212,-0.7421074157,-1.403776382
Essex Street Academy - [HS] 02M294,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.190474791,1.161662667,1.274123798,0.4921075203,1.4942965,0.9845699676,1.079727591
High School of Hospitality Management - [HS] 02M296,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-1.560113326,-1.565719247,-1.279907876,-0.6147087019,-1.672900689,-1.694757006,-0.1116830991
Pace High School - [HS] 02M298,Grand St,2.21,1.622183874,-0.4036117532,3.021934157,-0.7951568671,0.3475188122,0.1516512788,-0.1038704455,-0.2595815132,0.4784748725,0.05612122341
"Urban Assembly School of Design and Construction, The - [HS] 02M300",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-1.120670254,-1.06366387,-0.1737030746,-0.01873073607,-0.4979726996,0.4040491232,0.9287037004
"Facing History School, The - [HS] 02M303",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-0.2417841099,0.5646238402,1.697084458,0.01532514769,0.8642626508,0.6273263711,0.8951428359
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,-0.8602595444,0.1711209769,1.111446621,0.4239957528,1.30698914,1.371583864,0.9958254294
Lower Manhattan Arts Academy - [HS] 02M308,Spring St and Lafayette,-0.32,1.496967609,-0.6265434322,1.781290488,-0.8439838751,-0.03241498682,-0.6942700401,-0.4103733993,-0.1914697457,-0.9058440641,-1.051387305
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,-1.185772931,-0.6158847496,0.2492575848,0.117492799,0.7450670577,1.639516561,2.338260009
Gramercy Arts High School - [HS] 02M374,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,0.2139346313,-0.6837300709,-1.003356676,-0.9212116557,-1.128006549,-0.4444044185,-0.9842655761
NYC iSchool - [HS] 02M376,Spring St and 6th Av,-0.32,1.223379546,-0.6685599181,0.6805606009,0.8975127431,1.175231732,1.453068692,1.156197254,1.341045023,0.6422115209,1.650262287
Manhattan Business Academy - [HS] 02M392,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,-0.09530308596,1.812977751,1.924832505,0.7986104742,1.426184733,0.1658867255,1.197190616
Business Of Sports School - [HS] 02M393,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,-0.7626055285,-0.05955311532,-0.01102589789,-0.8530998882,-0.02119032692,-0.2657826203,0.1568038169
The High School For Language And Diplomacy - [HS] 02M399,14 St-Union Sq,6.44,2.124894299,7.035861186,7.665829304,-1.120670254,-1.402890476,-0.4665219927,-0.733904295,-0.5320285833,0.1063461261,0.2239255459
High School for Environmental Studies - [HS] 02M400,59 St-Columbus Circle,3.9,1.18989442,1.60999057,0.8173533414,-0.5672974965,0.2525353625,0.1028481258,-0.5636248762,1.341045023,-0.2211271707,-0.3130482861
Professional Performing Arts High School - [HS] 02M408,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,0.7673073885,-0.1002603081,-0.07609676858,-0.001702794188,-0.157413862,-0.2360123206,-0.8835829826
Baruch College Campus High School - [HS] 02M411,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.841501564,0.07613752719,0.5420765029,0.8667222417,-0.4468888739,-0.5188301678,0.05612122341
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.20675046,1.039541089,1.322926951,0.6623869391,0.02989349872,0.9845699676,1.046166726
School of the Future High School - [HS] 02M413,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.646193532,0.9988338963,-0.4177188397,0.2877722178,-0.4979726996,-0.1615865713,-1.101728602
N.Y.C. Museum School - [HS] 02M414,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.141647783,0.3746569407,-0.5641282987,0.5261634041,-0.1403859201,-0.29555292,0.2071451137
