School,Station,Node Degree,Closeness,Betweenness,Eigenvector,Swipes,Student Achievement,Rigorous Instruction,Collaborative Teachers,Supportive Environment,Effective School Leadership,Strong Family-Community Ties,Trust,Cluster
"New Explorations into Science, Technology and Math High School - [HS] 01M539",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.462548644,4.63,3.96,3.69,4.28,4.2,4.2,4.16,3
Bard High School Early College - [HS] 01M696,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.462548644,4.58,4.46,2.82,3.96,3.77,3.77,3.92,3
47 The American Sign Language and English Secondary School - [HS] 02M047,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.921579258,4.26,3.88,4.02,3.69,2.74,4.33,3.33,3
Stephen T. Mather Building Arts & Craftsmanship High School - [HS] 02M139,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.795267527,3.07,3.56,4.25,3.99,4.65,3.7,4.07,3
Essex Street Academy - [HS] 02M294,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.861483597,4.43,4.4,4.43,3.92,4.52,4.06,4.18,3
"Facing History School, The - [HS] 02M303",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.780761678,3.55,3.96,4.69,3.64,4.15,3.82,4.07,3
"Urban Assembly Academy of Government and Law, The - [HS] 02M305",Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.626112938,3.17,3.67,4.33,3.88,4.41,4.32,4.13,3
"Urban Assembly School of Business for Young Women, the - [HS] 02M316",Broad St,-0.32,1.415826396,-0.6685599181,1.338021931,1.921579258,2.97,3.09,3.8,3.7,4.08,4.5,4.93,3
NYC iSchool - [HS] 02M376,Spring St and 6th Av,-0.32,1.223379546,-0.6685599181,0.6805606009,1.1203359,4.25,4.41,4.54,4.31,4.43,3.83,4.52,3
Manhattan Business Academy - [HS] 02M392,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,4.065938965,3.64,4.88,4.83,4.1,4.48,3.51,4.25,3
Baruch College Campus High School - [HS] 02M411,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,3.273514777,4.83,3.6,3.98,4.14,3.38,3.05,3.57,3
N.Y.C. Lab School for Collaborative Studies - [HS] 02M412,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,1.626112938,4.44,4.31,4.46,4.02,3.66,4.06,4.16,3
School of the Future High School - [HS] 02M413,23 St and Park Av S,-0.32,1.520793291,-0.6122022525,1.669189254,1.795267527,4.71,4.28,3.39,3.8,3.35,3.29,2.88,3
N.Y.C. Museum School - [HS] 02M414,14 St and 8 Av,1.37,1.518275304,-0.5168306107,1.876230926,2.492849484,4.4,3.82,3.3,3.94,3.56,3.2,3.66,3
Eleanor Roosevelt High School - [HS] 02M416,72 St and 2nd Av,0.52,-0.8,-0.4820686357,-0.381,1.795267527,4.86,4.33,3.72,4.22,3.81,3.68,3.91,3
Manhattan Academy For Arts & Language - [HS] 02M427,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,2.492849484,3.21,4.39,4.37,3.86,4.73,3.51,3.82,3
Murray Hill Academy - [HS] 02M432,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,1.343706702,3.31,4.83,4.79,3.85,4.38,3.05,3.4,3
Manhattan International High School - [HS] 02M459,68 St-Hunter College,-0.32,1.050819097,-0.6322314163,-0.07621241909,1.949675305,3.3,4.52,4.24,4.2,4.7,3.94,4.14,3
Stuyvesant High School - [HS] 02M475,Chambers St and West Broadway,1.37,1.241421365,0.4911174724,0.4823865943,1.795219335,4.99,4.03,3.21,4.24,3.64,3.09,3.68,3
Unity Center for Urban Technologies - [HS] 02M500,33 St,-0.32,1.360718212,-0.6316719424,0.5362721791,1.343706702,3.95,3.57,4.17,3.92,4.16,4.07,4.44,3
Manhattan Bridges High School - [HS] 02M542,50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.626112938,4.22,4.84,4.42,4.2,3.92,3.92,4.02,3
New Design High School - [HS] 02M543,Delancey St-Essex St,-0.32,-0.355,-0.3631990923,-0.381,1.921579258,3.42,3.77,3.58,3.93,3.93,2.89,3.79,3
Richard R. Green High School of Teaching - [HS] 02M580,Bowling Green,-0.32,0.7879682394,-0.6572958446,-0.03541096853,1.646787388,3.21,3.25,3.38,3.79,3.69,3.74,4.16,3
The High School of Fashion Industries - [HS] 02M600,23 St and 8th Av,-0.32,1.232384401,-0.6685599181,0.8046835199,1.609486633,3.65,3.88,4.35,3.84,3.82,3.41,3.79,3
Humanities Preparatory Academy - [HS] 02M605,18 St,-0.32,1.045583354,-0.6446890339,0.2312736952,1.389874821,4.0,4.08,4.87,3.92,4.22,3.57,4.17,3
West End Secondary School - [HS] 03M291,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.55,4.72,3.2,3.91,2.26,3.84,3.11,3
"Urban Assembly School for Media Studies, The - [HS] 03M307",50 St and 8th Av,0.52,0.8955299065,-0.6500413337,0.3309269754,1.526306912,3.51,3.76,4.18,3.35,3.76,4.1,3.72,3
The Global Learning Collaborative - [HS] 03M403,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.147950025,3.14,3.25,4.31,3.62,3.97,3.04,4.02,3
Frank McCourt High School - [HS] 03M417,86 St and Broadway,-0.32,0.6495793677,-0.6627227409,-0.2033913482,1.646353658,3.96,3.56,4.09,3.37,3.51,3.26,3.33,3
Manhattan / Hunter Science High School - [HS] 03M541,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.646353658,4.66,4.32,3.0,4.21,3.76,3.08,3.39,3
Young Women's Leadership School - [HS] 03M610,103 St and Broadway,-0.32,0.676232977,0.7707425013,-0.2810423263,1.147950025,4.21,3.86,4.23,3.51,3.97,2.89,3.44,3
Special Music School - [HS] 03M859,66 St-Lincoln Center,-0.32,1.067649203,-0.5241224199,0.214017372,1.251515042,4.87,4.97,4.55,4.43,4.45,4.2,3.97,3
Manhattan Center for Science and Mathematics - [HS] 04M435,116 St and Lexington Av,-0.32,0.5638137359,-0.6007330387,-0.3553313364,1.338694715,4.36,4.94,4.93,4.49,4.86,3.18,4.52,3
Park East High School - [HS] 04M495,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.338694715,4.46,4.02,4.29,4.11,3.93,3.89,3.95,3
Central Park East High School - [HS] 04M555,103 St and Lexington,-0.32,0.4215587616,-0.6329960305,-0.3582904754,1.100143372,4.57,4.77,4.43,4.34,3.81,3.72,4.04,3
"High School for Mathematics, Science and Engineering at City College - [HS] 05M692",137 St-City College,-0.32,-0.424,0.4221902945,-0.381,1.293827785,4.99,4.69,4.11,4.39,4.03,3.42,4.11,3
Community Health Academy of the Heights - [HS] 06M346,157 St,-0.32,-0.8,0.2450981727,-0.381,-1.65714821,3.46,3.77,4.66,4.16,4.5,4.82,4.51,3
Washington Heights Expeditionary Learning School - [HS] 06M348,181 St and St Nicholas Av,-0.32,-1.1,0.06612248896,-0.381,-1.986370245,3.52,4.57,3.76,3.88,3.96,3.91,3.98,3
The College Academy - [HS] 06M462,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,4.08,3.7,4.01,3.6,4.52,4.13,3.84,3
High School for Health Careers and Sciences - [HS] 06M468,191 St,-0.32,-1.23,-0.02406469521,-0.381,-2.129033127,3.06,3.56,3.46,3.58,3.92,4.35,3.8,3
Gregorio Luperon High School for Science and Mathematics - [HS] 06M552,168 St,0.52,0.3220887717,-0.1598303488,-0.3425000336,-0.4257603772,3.89,3.72,3.62,4.08,4.03,4.32,4.1,3
